AOC date,Published date,Tender description,Org name,Area,Type of Work,Purchase type,Contract value,Supplier,Number of bids,type of tender,
03-Oct-2020 12:00 AM,27-Aug-2020 6:00 PM,"UPGRADATION OF CERTAIN INFRASTRUCTURE AND UPGRADATION OF CERTAIN INFRASTRUCTURE AND PROVN OF ADDL FACILITIES FOR COVID PATIENT AT BB CANTT, SRINAGAR UNDER GE 864 EWS./ CWEK-39/2020-21 / 2020_MES_364871_2",E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE NC AND CE 31 ZONE - MES||133 WORKS ENGINEER - MES,Srinagar,Works,Covid ward,2128410,M/S Razdan Buildersand suppliers,4,,
27-Oct-2020 12:00 AM,26-Aug-2020 3:00 PM,"Regular Sanitization work of Jhanjra Colony , Hospital, Area office and Hostels to Contain the spread of Pandemic Covid-19 under Jhanjra Area, ECL/ GM/JNR/Civil/e-Tender/20-21/ 240 dated 21.08.20 / 2020_ECL_181059_1",Eastern Coalfields Limited||ECL_Jhanjra area,Jhanrja,Works,Covid Prevention,349995,"M R Construction,KANCHAN DAS",13,,
01-Oct-2020 12:00 AM,25-Aug-2020 5:00 PM,ADDITION/ ALTERATION OF BUILDING NO P-17 FOR COVID-19 TESTING LAB AT DIHAR LEH/ GE I R AND D/CHD-33/2020-21 / 2020_MES_364838_1,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||ADG (OF and DRDO) AND CE (R and D) DELHI- MES||GE(I) R and D Chandigarh - MES,Delhi,Works,Covid Prevention,962165,M/S SK TRADERS,4,,
28-Sep-2020 12:00 AM,24-Aug-2020 5:00 PM,PROVN OF SPLIT ACS FOR COVID ICU AT MH AHMEDABAD AND CERTAIN REVENUE WORKS UNDER AGE EM UNDER GE A AHMEDABAD/ 8116/E8 / 2020_MES_371651_1,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CESC AND CE JODHPUR ZONE - MES||CWE AHMEDABAD - MES||GE AHMEDABAD - MES,Jodhpur,Works,Covid ward,936000,ALBA AC AND REF SERVICES,2,,
05-Nov-2020 12:00 AM,24-Aug-2020 5:00 PM,INSTALLATION OF MEDICAL GAS PIPE LINE FOR COVID-19 WARDS AT MH CHENNAI UNDER GE STM/ 8199-INSTALLATION OF MEDICAL GAS PIPE LINE FOR COV / 2020_MES_371640_1,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE SC AND CE CHENNAI ZONE - MES||CWE CHENNAI - MES||GE ST THOMAS MOUNT - MES,Chennai,Works,Covid ward,3796015.6,LAKSHMI ELECTRICAL ENTERPRISES,7,,
22-Sep-2020 12:00 AM,21-Aug-2020 6:55 PM,"PROVN OF OXYGEN GEN PLANT FOR ICU, OT AND COVID 19 WARDS AND MEDICAL GAS PIPE LINE SYSTEM AT MH UNDER GE(SOUTH) PATHANKOT/ CWE/P-32/2020-21 / 2020_MES_354181_2",E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE WC AND CE PATHANKOT ZONE - MES||CWE PATHANKOT - MES,Pathankot,Works,Covid ward,12107418,Auto India,10,,
12-Sep-2020 12:00 AM,21-Aug-2020 12:00 AM,UNSKILLED MANPWR FOR COVID 19/ 20000069-HB-12351 / 376163,HINDUSTAN PETROLEUM CORPORATION LTD,,Service,Covid Prevention,445000,VAIBHAVI ENTERPRISES,2,,
21-Sep-2020 12:00 AM,20-Aug-2020 12:00 AM,"TRUCK SANITIZE, BOARDS-COVID19/ 20000027-HB-12352 / 380118",HINDUSTAN PETROLEUM CORPORATION LTD,,Service,Covid Prevention,705800,SIDDHARTH ENTERPRISES,3,Limited,
15-Oct-2020 12:00 AM,19-Aug-2020 10:00 AM,Laying of oxygen pipeline and miscellaneous civil works for maintenance isolation ward (20 nos bed) for covid19 at Regional Hospital of Johilla Area./ SECL/JHL/SO(C)/eNIT34 /20-21/243 dt. 18.08.2020 / 2020_SECL_180417_1,South Eastern Coalfields Limited||Johilla Area,Johilla,Works,Covid ward,350202,Rais Ahmed,2,,
31-Aug-2020 12:00 AM,11-Aug-2020 6:00 PM,"PROVN OF AIR COOLING SYSTEM IN TWO 02 BARRACKS, THERMAL INSULATION AND EXHAUST FANS IN EIGHT 08 BARRACKS IN NCC AREA FOR COVID 19 MEDICAL FACILITIES UNDER GE EAST DELHI CANTT/ CWE/D-29/2020-21 / 2020_MES_368110_1",E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE WC and CE DELHI ZONE-MES||CWE DELHI CANTT-MES,Delhi,Works,Covid ward,2576525,imran construction company,8,,
02-Sep-2020 12:00 AM,10-Aug-2020 12:00 PM,PROVN OF WALL MOUNTED FAN OF 15 NOS FOR QUARANTINE CENTRE COVID-19 IN BLDG NO 297 AT ESD KANKINARA UNDER GE NORTH KOLKATA - JOB NO - MINOR WORK-01-2020-21./ 3012/JOB/2020-21/11/E3 / 2020_MES_367856_1,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE EC AND CE KOLKATA ZONE - MES||CWE (SUBURB) BARRACKPORE - MES||GE (NORTH) KOLKATA - MES,Kolkata,Works,Covid Prevention,95200,SABITA ENTERPRISE,5,,
01-Sep-2020 12:00 AM,10-Aug-2020 10:00 AM,PROVN OF MED VET MEDICINE AND COVID 19 ITEMS IN UNIT AOR/ 110/Sadh/PRI (Proj ID - 15/HE/464) / 2020_IHQA_550869_1,IHQ of MoD (Army)||15 CORPS||E DIV,,Goods,Covid Treatment,100000,M/s GULZAR ENTERPRISES,1,,"PPE - 1,030.00
NAhypochlorite - 420 /5l
mask - 10 rs
sanit -500 ml - 240"
03-Sep-2020 12:00 AM,08-Aug-2020 10:00 AM,Job Work for repair of ducting of PGI sheet with exhaust fans in COVID-19 patient care area at MH Agra/ 3340/Q/02/E3/2020-21 / 2020_MES_367528_1,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE CC AND CE LUCKNOW ZONE - MES||CWE AGRA - MES||GE (W) AGRA - MES,Agra,Works,Covid ward,213500,M/s J S &amp SONS,6,,
27-Oct-2020 12:00 AM,07-Aug-2020 6:00 PM,PROVN OF COVID RELATED INFRASTRUCTURE AT 176 MH AT MILITARY STN SRI GANGANAGAR(3RD CALL)/ GE SGNR/TOK-17 OF 2020-21 / 2020_MES_354492_3,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE SWC AND CE BATHINDA ZONE - MES||CWE GANGANAGAR - MES||GE SRIGANGANAGAR - MES,Bathinda,Works,Covid ward,2190000,"singh traders,Eagle Construction Co.",5,,
07-Sep-2020 12:00 AM,06-Aug-2020 6:00 PM,"PROVN OF HARDSTANDING WITH INTERLOCKING TILES FOR PARKING OF AMBULANCE AT COVID ZONE IN BASE HOSPITAL UNDER GE (E/M) BASE HOSP, DELHI CANTT-10/ CWE/BH-10/2020-21 / 2020_MES_361794_2",E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE WC and CE DELHI ZONE-MES||CWE (P) DELHI CANTT-MES,Delhi,Works,Covid allied,5281994.5,M/S Parshant Associates,9,,
03-Sep-2020 12:00 AM,06-Aug-2020 6:00 PM,PROVN OF 1 X SAMPLE COLLECTION AND MED ROOM FOR COVID-19 PATIENTS AT MH SHIMLA JUTOGH CANTT UNDER GE JUTOGH/ GE/JUT-31 OF 2020-21 / 2020_MES_366898_1,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE WC AND CE CHANDIGARH ZONE - MES||CWE SHIMLA HILLS - MES||GE JUTOGH - MES,Chandigarh,Works,Covid ward,1399375,"M/S kuldeep kumar khullar,M/S Jaswant Kumar Aggarwal,m/s jupiter builders",3,,
12-Sep-2020 12:00 AM,05-Aug-2020 5:55 PM,"Procurement of Accessories / Ancillaries and installation for Setup of COVID-19 Testing Facility of OTA, Chennai (Turnkey Proj)/ 815/COVID-19 Testing Facility/OTA / 2020_ARMY_366787_1",IHQ of MoD (Army)-(OSCC)||ARTRAC-IHQ of MoD (Army)-(OSCC)||OTA CHENNAI-ARTRAC-IHQ of MoD (Army)-(OSCC),Chennai,Goods,Covid Detection,1549580,TROOPER INDIA SERVICES PRIVATE LIMITED,4,,
15-Sep-2020 12:00 AM,04-Aug-2020 6:00 PM,PROVISION OF GAS PIPE LINE SYSTEM FOR MEDICAL GASES IN BLDG NO P-236 OF MH GOPALPUR FOR MGT OF COVID-19 UNDER PARA 35 OF DWP 2007 UNDER GE I GOS/ 8000/01/20-21/0900/E8 / 2020_MES_353734_2,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE CC AND CE JABALPUR ZONE - MES||GE (I) GOS - MES,Jabalpur,Works,Covid ward,1944578.5,"M/S. KISHAN ENGINEERING,M/S S.K GHOSE,M/S JAGANNATH SASMAL,V.Venkata Ramaiah,DHABALESWAR ENGINEERING WORKS,G.KRISHNA MURTHY AND PARTNERS,M/s Ats Electricals,M/s MAA BHAIRABI ENTERPRISES",8,,
29-Aug-2020 12:00 AM,04-Aug-2020 3:30 PM,REPAIR AND MAINT OF FLOOD LIGHT OR SECURITY LIGHT AND ALLIED WORKS AT BAGJOLA COVID CENTER UNDER GE NORTH KOLKATA./ 3012/JOB/2020-21/09/E3 / 2020_MES_366368_1,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE EC AND CE KOLKATA ZONE - MES||CWE (SUBURB) BARRACKPORE - MES||GE (NORTH) KOLKATA - MES,Kolakata,Works,Covid allied,160079,KAY BEE ASSOCIATES,6,,
19-Aug-2020 12:00 AM,31-Jul-2020 12:00 AM,SUPLY OF MATERIAL FOR COVID 19/ 20000046-HB-12602 / 380130,HINDUSTAN PETROLEUM CORPORATION LTD,,Goods,Covid treatment,230400,CHOUDHARY & SONS,3,limited,
24-Nov-2020 12:00 AM,30-Jul-2020 6:55 PM,Sanitization work in view of Covid-19 in colony area for 365 days at Krishnashila Project/ KSL/Civil/Tender/2020-21/ETN12 Dtd 30.07.2020 / 2020_NCL_179008_1,Northern Coalfields Limited||Krishnashila Project,,Works,Covid prevention,767972.19,NATASA ENTERPRISES,9,,
12-Aug-2020 12:00 AM,30-Jul-2020 5:45 PM,"PROVN OF AIR CONDITIONING, EXHAUST FANS, JOINERY WORKS, SANITARY FITTING AND OTHER BLDG WORK (TILING DOORS, WINDOWS AND ALUMINIUM WORK ETC) FOR ESTABLISHMENT OF MOLECULAR LAB FOR COVID-19 TESTING AT MH JODHPUR/ 8642/E8 37 / 2020_MES_363433_2",E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CESC AND CE JODHPUR ZONE - MES||CWE(ARMY) JODHPUR - MES||GE SHIKARGARH - MES,Jodhpur,Works,Covid ward,934820,Mahesh Dave,8,,
21-Aug-2020 12:00 AM,29-Jul-2020 4:00 PM,"PROVN OF ISOLATION CABIN FOR COVID-19 IN BLDG NO P-12, P-13 AND LABORATORY UNDER 185 MH AND CERTAIN REVENUE WORKS AT UDAIPUR MIL STN/ 8522/E8/AGE I UDAIPUR / 2020_MES_364958_1",E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CESC AND CE JODHPUR ZONE - MES||CWE(ARMY) JODHPUR - MES||AGE(I) UDAIPUR - MES,Jodhpur,Works,Covid prevention,947000,Punjab Traders,2,,
29-Jul-2020 6:12 AM,28-Jul-2020 8:20 PM,COVID RT PCR TEST/ 1000355373 / 75465,Bharat Petroleum Corporation Limited,,Goods,Covid Detection,1125000,"Metropolis Healthcare Ltd,",2,Limited,
31-Aug-2020 12:00 AM,28-Jul-2020 10:00 AM,"Tender enquiry for Supply and delivery of 612 Kg Soap Cake and 1100 Ltr Liquid Soap on 3 Three months rate contract basis for Centenary Hospital (Port Hospital) Kolkata of SYAMA PRASAD MOOKERJEE PORT,KOLKATA/ . MED/326/Covid-19/20-21/427 / 2020_KoPT_572602_1",Kolkata Port Trust||Kolkata Dock System - KoPT||Medical - KDS||O/o Chief Medical Officer - KDS,Kolkata,Goods,Covid Prevention,143000,Prime Marketing,3,,
07-Sep-2020 12:00 AM,27-Jul-2020 1:25 PM,ADDITION ALTERATION TO EXISTING BLDG NO T-95 AND T-96 TO ACCOMMODATE COVID 19 PATIENTS AT PARTAPUR/ 138WE/L-22/2020-21 / 2020_MES_355448_2,E-IN-C BRANCH - MILITARY ENGINEER SERVICES||CE NC AND CE LEH ZONE - MES||HQ 138 WORKS ENGR - MES,Leh,Works,Covid ward,5065763.5,M/S MOHD KARIM,10,,
17-Aug-2020 12:00 AM,23-Jul-2020 12:00 AM,COVID 19 KIT FOR DISTRIBUTION/ 20000022-HB-11589 / 367952,HINDUSTAN PETROLEUM CORPORATION LTD,,Services,Covid Detection,76500,C B MARKETING SERVICES,1,,
31-Jul-2020 12:00 AM,17-Jul-2020 4:00 PM,Production of 50000 quality pieces of in House developed Anti Covid hand tool using mold supplied by IOCL and delivery at IOCL RND Centre/ RDCCST2012 / 2020_RND_120590_1,IndianOil||Research and Development||Contract Cell,,Works,Covid Prevention,477750,CIPET CSTS Bhopal,1,,
23-Jul-2020 3:14 PM,14-Jul-2020 3:02 PM,OPERATION OF 50 SEATER BUSES FOR BPCL KOCHI REFINERY PDPP CONTRACT EMPLOYEES DUE TO COVID 19/ 1000354585 / 74966,Bharat Petroleum Corporation Limited,,Services,Covid Prevention,307125,PRINCY TRAVELS,1,Limited,
