S.No.,AOC Date,e-Published Date,Title and Ref.No./Tender Id,State Name,Type of work,,What is it,Number of bids,Amount,Bid winner,Org name,Tender ref number,Tender description,Tender type,number of bids received,name of bidder,address of bidder,contract value,tender published date
13,07-Jan-2021 12:00 AM,10-Nov-2020 5:30 PM,Heating/Solar Water Panel etc for Covid Patient at Covid Care Centre Khaltsi.(Non-plan)/ E-Tender No 16 of SSD Khaltsi of 2020-21 / 2020_PWD_1385_1,Ladakh UT,Works,,Covid Ward,2,600000,"Soltec Heating Solutions,M/S ZEE ELECTRICALS",PWD,,,,,,,,
14,04-Dec-2020 12:00 AM,09-Nov-2020 5:30 PM,Construction of Shed for Gas Cylinder and Manifold for 1 No ICU COVID-19 Patient at Medical Collage Jalgaon Tal.Dist.Jalgaon/ E-Tender Notice No. 21 For 2020-2021 / 2020_PWR_622850_1,Maharashtra,Works,,Covid Ward,2,2711711,"Padmalaya Majur Co.Op.Society Ltd Bornar Tal.Jalgaon,Jayguru MSS LTD JALGAON",PWD,,,,,,,,
15,31-Dec-2020 12:00 AM,09-Nov-2020 11:00 AM,"Est.No. OW/PESD/ 737 /2020-21 Providing UPS for Ventilater System with accessories in Surgical ward Covid-19 ICU ward at Civil Hospital Alibag, Tal. Alibag, Dist.Raigad./ E TENDER NOTICE NO 33 OF 2020-2021 / 2020_PWDM_622736_1",Maharashtra,Works,Goods,Covid Treatment,4,662732,"M D electrical and mech. works,Vibha Electrical",,,,,,,,,
16,31-Dec-2020 12:00 AM,09-Nov-2020 11:00 AM,"Est.No. OW/PESD/ 734 /2020-21 Providing 2 TR Air conditioner Units in Surgical Ward Covid-19 ICU ward Second Floor at Civil Hospital Alibag, Tal. Alibag, Dist.Raigad./ E TENDER NOTICE NO 33 OF 2020-2021 / 2020_PWDM_622734_1",Maharashtra,Works,Goods,Covid Ward,4,527914,"M D electrical and mech. works,Vibha Electrical",,,,,,,,,
17,24-Dec-2020 12:00 AM,06-Nov-2020 2:00 PM,"Supply of Medicine for Covid-19 patient at RIMS, Ranchi/ RIMS/Med/01/4314 dated 05-11-2020 / 2020_RIMS_46345_1",Jharkhand,Goods,,Covid Medication,2,1456.3/8000 per set of drugs,"RAHUL SALES,VEE KEE DRUGS AND COSMETICS",RIMS,,/8000 per set of drugs,,,,,,
18,26-Nov-2020 12:00 AM,03-Nov-2020 11:00 AM,"Providing Supplying required items used for controlling Covid19 for Prabhag No. 1 of Muncipal Council (Under Honble Shri. Vipalv Bajuriya , M.L.C. Funds)/ E-Tender Notice No. MCM 11 of 2020-21 / 2020_DMA_621394_4",Maharashtra,Services,,Covid Prevention,3,700000,"SHREE SAINATH DISTRIBUTOR,",DMA,"Sanitzer-204, mask-3, gun machine2490 and oxemeter- 3000",,,,,,,
19,26-Nov-2020 12:00 AM,03-Nov-2020 11:00 AM,"Providing Supplying required items used for controlling Covid19 for Prabhag No. 7 (A) of Muncipal Council Manwat (Under Honble Shri. Vipalv Bajuriya , M.L.C. Funds) Dist. Parbhani/ E-Tender Notice No. MCM 11 of 2020-21 / 2020_DMA_621394_2",Maharashtra,Services,,Covid Prevention,3,700000,"SHREE SAINATH DISTRIBUTOR,",DMA,,,,,,,,
20,25-Dec-2020 12:00 AM,03-Nov-2020 10:00 AM,"Est.No.131557/2020-21 Prov.Self Contained Water Cooler for HOT and COLD water, Ducting with accessories for Training Hall an Kitchen Section at Lower Ground Floor at Dist Covid Hospital at Shri Chhatrapati Shivaji Maharaj Museum at Satara Dist.Satara/ eTender Notice 32 of 2020.21 / 2020_PWDM_621392_9",Maharashtra,Works,,Covid Ward,3,803314,RAJ ENTERPRISES,,,,,,,,,
21,25-Dec-2020 12:00 AM,03-Nov-2020 10:00 AM,"Est.No.131514 /2020-21 Prov. Transformer Substation to Class I Qrts. ForCovid -19 in the campus of Civil Hospital at Satara, Dist.- Satara /",Maharashtra,Works,,Covid Ward,3,888769,Nikam Electricals,,,,,,,,,
22,25-Dec-2020 12:00 AM,03-Nov-2020 10:00 AM,"Est.No.131527 /2020-21 Prov. Power Supply Arrangement for Air Conditioning Panels, Lift, Solar System and Mortury at District COVID Hospital at Shri Chhatrapati Shivaji Maharaj Museum at Satara, Dist. Satara/ eTender Notice 32 of 2020.21 / 2020_PWDM_621392_7",Maharashtra,Works,,Covid Ward,3,999624,Sai Engineers and Contractors,,,,,,,,,
23,25-Dec-2020 12:00 AM,03-Nov-2020 10:00 AM,"Est.No.131501 / 2020-21 Prov. Electrification to Main LT Panel to District Covid Hospital at Satara, Dist.- Satara/ eTender Notice 32 of 2020.21 / 2020_PWDM_621392_2",Maharashtra,Works,,Covid Ward,3,959527,Pawar Electrical and Electronics works,,,,,,,,,
24,28-Nov-2020 12:00 AM,30-Oct-2020 6:00 PM,Food and breakfast supplies for Covid staff/ 7053/1 / 2020_DGMH_526495_1,Uttar Pradesh,Goods,Services,Covid HCW - Diet,4,900000,M/s Suresh Prasad Tiwari,DGMH,,,,,,,,
25,09-Dec-2020 12:00 AM,29-Oct-2020 6:25 PM,"S.R. to Rest House at Khandala under Covid -19 preventive activities Tal. Maval Dist. Pune Providing room boys kitchen service, security service and cleaning of inside and outside area, all types toilet by outsourcing for one year/ Northpune/2020-21 /10 / 2020_PWDRP_620558_1",Maharashtra,Services,,Covid Prevention,10,6173193,Venkatesh Construction,DGMH,,,,,,,,
26,04-Dec-2020 12:00 AM,29-Oct-2020 3:30 PM,"Demolition of Doctors old Quarter for Construction of Foundation of Oxygen tank for COVID-19 patients at Govt. Medical Collage at Jalgaon, Tal and Dist- Jalgaon./ E-Tender Notice No. 20 For 2020-2021 / 2020_PWR_620449_3",Maharashtra,Works,,Covid Treatment,2,606830,"Siddheshwar Majur Sahakari Sanstha Ltd Jalgaon,Shivneri Majur Sahakari Sanshta Maryadit , Aasoda",,,,,,,,,
27,25-Dec-2020 12:00 AM,29-Oct-2020 11:50 AM,"Est.No.133253 /2020-21 Prov. Solar Water Heater System to Rural Hospital for COVID-19 at Pimpode ( BK ) Tal.- Koregaon, Dist. Satara/ eTender Notice 31 of 2020.2021 / 2020_PWDM_620330_5",Maharashtra,Works,,Covid Ward,2,408218,Global Engineers and contractors,,,,,,,,,
28,25-Dec-2020 12:00 AM,29-Oct-2020 11:35 AM,"Est.No.133251 / 2020-21 Prov. Split type Air Conditioners and Water Cooler with Purifire for COVID-19 at Rural Hospital for COVID-19 Pimpode (BK) Tal. Koregaon, Dist. Satara/ eTender Notice 31 of 2020.2021 / 2020_PWDM_620330_2",Maharashtra,Works,,Covid Ward,3,501475,RAJ ENTERPRISES,,,,,,,,,
29,11-Nov-2020 12:00 AM,27-Oct-2020 3:25 PM,"Providing Supplying Required Items for controlling COVID-19 for M.C. ( PPE Kit , Sanitizer , Mask etc)/ E-Tender Notice No. 9 of 2020-21 / 2020_DMA_619825_1",Maharashtra,Services,,Covid Prevention,4,166434.24,Deepal Distributors,,"Sanitzer - 5 jars (250 Lt) - 125000, Sanitzer - 100 ml - 44, N95 mask - 170, finger tip pulse oxymeter - 2800, infra red thermometer - 7800, PPE kit -920, Sodium Hypochlorite - 29700",,,,,,,
30,03-Dec-2020 12:00 AM,23-Oct-2020 3:00 PM,Execution of Various civil works to avoid Covid-19 disease in Diva Ward Committee area./ TMC/PRO/PWD-DIVA/466/2020-21 / 2020_TMC_619101_1,Maharashtra,Works,,Covid Prevention,3,353832,nitin mumde,,,,,,,,,
31,22-Dec-2020 12:00 AM,20-Oct-2020 10:00 AM,Est. No. RSD / OW / 905 / 2020-21 Providing 250 KVA DG Set for Covid-19 at Tal and Dist Ratnagiri./ E TENDER NOTICE NO 29 OF 2020-2021 / 2020_PWDM_617944_1,Maharashtra,Works,,Covid Ward,4,2249029,"Shree Electricals,Smit Electricalds",,,,,,,,,
32,16-Dec-2020 12:00 AM,19-Oct-2020 6:00 PM,ID and BG Hospital - G Block - Emergent Repair and Renovation of Diabetic Clinic for conversion to POST COVID CLINIC/ WBPWD/EE/KNHD/NIT-21e/20-21 / 2020_WBPWD_302521_1,West Bengal,Works,,Covid Ward,3,1735209,SALMA CONTRACTOR AND SUPPLIOR,,,,,,,,,
33,17-Dec-2020 12:00 AM,17-Oct-2020 5:00 PM,"Structural infrastructure in front of surgical OPD and medicine OPD along with aluminum partition work for Isolation ward and Speech therapy room within Baghajatin State General Hospital, Kolkata _ 700032 for COVID_19, during the year 2020_21/ WBPWD/KSHD/EE/NIT-40 OF 2020-2021 / 2020_WBPWD_302432_1",West Bengal,Works,,Covid Ward,5,225057,ANNAPURNA ENTERPRISE,,,,,,,,,
34,04-Dec-2020 12:00 AM,16-Oct-2020 6:00 PM,"Repair Renovation and conversion of Male Ward to Covid Pregnant Women Care Facility Unit at Ground Floor of Tehatta Sub Divisional Hospital at Tehatta, Nadia/ WBPWD/SS/EE/KNG- 06(e)/2020-21 / 2020_CB_302286_1",West Bengal,Works,,Covid Ward - Pregnant women,8,1174227,"SATHI CONSTRUCTION,JOYTI SRAMIK THIKATHARY SAMBAY SAMITY LTD.,HEMANTA KUMAR BISWAS,S. MONDAL AND CO.,M/S RAJCON. ENGINEERS,SUMAN PAUL,M/S BASAK CONSTRUCTION",,,,,,,,,
35,10-Dec-2020 12:00 AM,14-Oct-2020 5:00 PM,"Repair and rehabilitation of Isolation ward at 2nd floor of IPD building for COVID patient at M R Bangur District Hospital, Kolkata _ 700033 during the year 2020_2021/ WBPWD/KSHD/EE/NIT-35 OF 2020-2021 / 2020_WBPWD_301517_1",West Bengal,Works,,Covid Ward,6,1008902,M/S M. L. DEY ENTERPRISE,,,,,,,,,
36,04-Dec-2020 12:00 AM,14-Oct-2020 9:00 AM,"Electrical installation and Air Conditioning System including LAN Telephone etc. for establishment of RTPCR Lab for testing of COVID-19 virus at Asansol District Hospital, Paschim Bardhaman./ WBMSCL/NIT-201/2020, Dated 09/10/2020 / 2020_WBMSC_301182_1",West Bengal,Works,,Covid Testing,5,4105288.98,"MODERN ELECTRIC,NARAYAN CHANDRA DAS,B M ELECTRIC,SAGARDIGHI CONSTRUCTION AND CO,Sterling and Wilson Private Limited",,,,,,,,,
37,02-Nov-2020 12:00 AM,12-Oct-2020 6:00 PM,Covid 19 Urgent/ 44/AEE/SPL/2020-21 / 2020_PWD_391178_1,Kerala,Works,,no information,3,598675.66,"Joy John Parappilly,BINOJ C,BIJU K VARGHESE",,,,,,,,,
38,03-Nov-2020 12:00 AM,12-Oct-2020 1:00 PM,Design Supply Installation Commissioning Operation and Maintenance of &amp;#x0d; Medical Gas Pipeline System at Netaji Subhas Sanitorium Covid Hospital of West Bengal for 1 year&amp;#x0d;/ WBMSC/NIT-195/2020 dated 08/10/2020 / 2020_WBMSC_300982_1,West Bengal,Works,,Covid Ward,1,1122695,B.S.MEDICAL INTERNATIONAL,,,,,,,,,
39,03-Nov-2020 12:00 AM,12-Oct-2020 1:00 PM,Design Supply Installation Commissioning Operation and Maintenance of &amp;#x0d; Medical Gas Pipeline System at Ayush Covid Hospital Paschim Medinipur of West Bengal for 1 year&amp;#x0d;/ WBMSC/NIT-191/2020 dated 08/10/2020 / 2020_WBMSC_300964_1,West Bengal,Works,,Covid Ward,1,1122695,B.S.MEDICAL INTERNATIONAL,,,,,,,,,
40,25-Nov-2020 12:00 AM,12-Oct-2020 1:00 PM,"Provision for FLU Clinic and Gynae Isolation Ward under COVID-19 in Civil Hospital, Sector 22, Chandigarh./ EECP5/2020/1873-88 dated 08.10.2020 / 2020_CHD_56984_1",Chandigarh UT,Works,,Covid Ward,4,1391062,Arjun Yadav,,,,,,,,,
41,12-Nov-2020 12:00 AM,12-Oct-2020 11:50 AM,"Est.No.132033 / 2020-21 Prov. AC for Phase I Rural Hospital Kashil, Dist.Satara ( For Covid-19)/ eTender Notice No.28 of 2020.21 / 2020_PWDM_614966_5",Maharashtra,Works,,Covid Ward,3,586765,RAJ ENTERPRISES,,,,,,,,,
42,12-Nov-2020 12:00 AM,12-Oct-2020 11:40 AM,"Est.No.132035 / 2020-21 Prov. Diesel Generator for Sub District Hospital of Karad, Dist. Satara (Only Allied Electrical Work For Covid 19)/ eTender Notice No.28 of 2020.21 / 2020_PWDM_614966_3",Maharashtra,Works,,Covid Allied Work,3,406363,Global Engineers and contractors,,,,,,,,,
43,03-Nov-2020 12:00 AM,08-Oct-2020 4:00 PM,"Design Supply Installation Commissioning and Operation and Maintenance &amp;#x0d; Of Medical Gas Pipeline System at &amp;#x0d; Integrated Tapsikhata Ayush Covid Hospital AlipurDuar of West Bengal for 5 years&amp;#x0d;/ WBMSCL / NIT 185/2020, Dated 05/10/2020 / 2020_WBMSC_300229_1",West Bengal,Works,,Covid Ward,1,6700902,B.S.MEDICAL INTERNATIONAL,,,,,,,,,
44,25-Dec-2020 12:00 AM,08-Oct-2020 11:15 AM,Est No.112520/19-20 Providing Solar Hot Water Heater system in Govt. Residential School (200 students) (Covid -19 quarantine centre ) at Masud Male Tal. Panhala Dist.Kolhapur./ eTender No.07 of 2020.21 2nd Recall / 2020_PWDM_614868_2,Maharashtra,Works,,Covid Prevention,2,1407866,Global Engineers and contractors,,,,,,,,,
45,10-Nov-2020 12:00 AM,08-Oct-2020 10:00 AM,Est.No.OW / TESD / TUES /002 /2020-21Providing 250 KVA DG set with AMF panel and allied switchgears and cables at new shed for quarantine patients of COVID-19 (CORONA) in Civil Hospital Compound Thane West./ E TENDER NOTICE NO 28 OF 2020-2021 / 2020_PWDM_614877_1,Maharashtra,Works,,Covid Allied Work,4,1964288,"Chitte Electrical contracor,Nil Nakshatra Electricals",,,,,,,,,
46,04-Dec-2020 12:00 AM,08-Oct-2020 10:00 AM,Provding and supplying Medical Equipment to Prevent COVID-19 for Solapur Municipal Corporation ./ MOH/SMC/9/2020-21 / 2020_SMC_614843_1,Maharashtra,Goods,,Covid Prevention,7,265,"Chaitanya Enterprises,B Y TAYLOR",PPE - 210 /1,,,,,,,,
47,14-Dec-2020 12:00 AM,06-Oct-2020 10:00 AM,"Purchase of PPE Kit (SITRA or DRDO Certified) for Shri Saibaba and Sainath Hospital in Covid-19, Shri Saibaba Sansthan Trust, Shirdi./ SSST/Medical Purchase/2020/64/ Purchase of PPE Kit / 2020_SAI_613990_1",Maharashtra,Goods,,Covid Prevention,23,2000000,Pharmdeal,10000 PPE kits for that amount,,,,,,,,
48,05-Nov-2020 12:00 AM,05-Oct-2020 12:00 PM,RENOVATION OF THE KIDNEY UNIT NEAR ICU BUILDING FOR DIALYSIS OF COVID 19 PAITENTS IN MAIN HOSPITAL BUILDING AT GMCH NAGPUR.(THIRD CALL)./ pwc/ngp/IUM/10/2020-21 / 2020_PWR_614173_1,Maharashtra,Works,,Covid Treatment,6,2361659.42,M.A.Builders,,,,,,,,,
49,23-Nov-2020 12:00 AM,05-Oct-2020 10:00 AM,"Est.No.133243 / 2020-21Prov. Solar Water Heater System of Newly Constructed Building of Sub District Hospital at Koregaon, Dist. Satara ( For Covid 19)/ eTender Notice No.27 of 2020.21 / 2020_PWDM_614115_1",Maharashtra,Works,,Covid Ward,3,408218,Global Engineers and contractors,,,,,,,,,
50,25-Dec-2020 12:00 AM,05-Oct-2020 10:00 AM,"Est.No.132026 / 2020-21 Prov. AC Units to Additional Ward ( ICU for Covid ) to Rural Hospital Kashil, Dist.- Satara ( For Covid 19)/ eTender Notice No.27 of 2020.21 / 2020_PWDM_614115_2",Maharashtra,Works,,Covid Ward,3,397677,RAJ ENTERPRISES,,,,,,,,,
51,04-Jan-2021 12:00 AM,02-Oct-2020 12:00 PM,Supply of Covid 19 Antigen Test Kits/ 03/2020-21 / 2020_PCMCP_613876_1,Maharashtra,Goods,,Covid Detection,4,410000,KOTHARI MEDICAL,"10,000 at 370",,,,,,,,
52,29-Dec-2020 12:00 AM,01-Oct-2020 2:45 PM,e-Tender for the procurement of Humidifier for the Covid-19 hospital/ RMLIMS/MM(eq)/2020-21/3281 / 2020_RMLIM_516957_1,Uttar Pradesh,Goods,,Covid Treatment,4,1724800,SHUBHAM AGENCIES,40 BAMC humidifiers - 38500 per humidifier,,,,,,,,
53,09-Dec-2020 12:00 AM,01-Oct-2020 1:55 PM,E. No. 4060 of 2019-20 Prov. 26 passanger cum stretcher lift - G Plus 4 for COVID-19 for new Hospital Building in the premises of District Civil Hospital at Ahmednagar./ PWDEE_34_2020-21 / 2020_PWDM_613671_1,Maharashtra,Works,,Covid Ward,1,2790004,PHOENIX ELEVATOR (I) PVT. LTD.,,,,,,,,,
54,02-Dec-2020 12:00 AM,28-Sep-2020 5:00 PM,Sambhunath Pandit Hospital __ Construction of Police Kiosk with toilet including shifting of underground sewer line required of this construction and allied works in connection with Covid_19 patient care services during the year 2020_21/ WBPWD/KSHD/EE/NIT-32 OF 2020-2021 / 2020_WBPWD_298406_1,West Bengal,Works,,Covid Allied Work,8,801696,BOSE ENTERPRISE,,,,,,,,,
55,15-Dec-2020 12:00 AM,25-Sep-2020 1:35 PM,"132024 / 2020-21 Prov. AC Units to female Ward ( ICU for Covid ) of R. H. Kashil, Dist.- Satara/ eTender Notice No.26 of 2020.21 / 2020_PWDM_612379_4",Maharashtra,Works,,Covid Ward,2,662912,RAJ ENTERPRISES,,,,,,,,,
56,30-Oct-2020 12:00 AM,25-Sep-2020 1:20 PM,"Est.No.133244 / 2020-21 Prov. 22 KV / 100 KVA DTC to Primary Health Center for Covid-19 at Lohom, Tal.- Khandala, Dist.Satara/ eTender Notice No.26 of 2020.21 / 2020_PWDM_612379_3",Maharashtra,Works,Goods,Covid Ward,3,1058751,M/s Vijayalaxmi Engineers &ampamp Contractors,,,,,,,,,
57,15-Dec-2020 12:00 AM,25-Sep-2020 1:00 PM,"Est.No.133245 / 2020-21 Prov. 11 KV / 100 KVA DTC to Primary Health Center for Covid - 19 at Venegaon, Dist.Satara/ eTender Notice No.26 of 2020.21 / 2020_PWDM_612379_1",Maharashtra,Works,Goods,Covid Ward,3,868070,Nikam Electricals,,,,,,,,,
,7-Jan-2021 12:00 AM,24-Sep-2020 5:00 PM,Establishment of COVID ICU Ward/HDU for DCHC and other Renovation Work at DH Chhatarpur/ NIT 02/DHS/2020-21_29 / 2020_DHS_99948_1,Madhya Pradesh,Works,,Covid Ward,3,2925300,MS QUALITY CONSTRUCTION COMPANY,,,,,,,,,
58,10-Jan-2021 12:00 AM,24-Sep-2020 10:00 AM,"Construction of RO Plant room, Transformer shed and Verandah Grill of TB Covid-19 Hospital at Kamthana in the District of Kalahandi for 2020 - 21/ EERWBPT/ONLINE-07-2020-21 / 2020_CERWI_62769_1",Odisha,Works,,Covid Ward,2,680449,BIDYADHAR KUMAR,,,,,,,,,
59,28-Oct-2020 12:00 AM,23-Sep-2020 2:00 PM,"Strengthening of Dist. Sub Jail at Jalgaon, Tal and Dist- Jalgaon. (Covid Care Centre at Kalabhavan for COVID-19 patients)/ E-Tender Notice No. 17 For 2020-2021 / 2020_PWR_611824_1",Maharashtra,Works,,Covid Ward,3,940180,"Siddheshwar Majur Sahakari Sanstha Ltd Jalgaon,Shivmurti MSS LTD Muktainagar Tal.Muktainagar,Jayguru MSS LTD JALGAON",,,,,,,,,
60,03-Dec-2020 12:00 AM,23-Sep-2020 12:00 PM,"Repair and Painting Work of MM Ward, WD Ward, MS Ward, FM Ward and NRC Ward to Change the Covid-19 L-2 at District Hospital in District Agra/ 2366/15Mg Date 16-09-2020 / 2020_CEAGR_514191_1",Uttar Pradesh,Works,,Covid Ward,2,951047.99,MAALU BHAI CONSTRUCTION CO,,,,,,,,,
61,19-Oct-2020 12:00 AM,23-Sep-2020 10:00 AM,"Supply of Immunity Booster Diet For Covid 19 Patient in Covid Hospital,CCC in Latur District/ 1/2020-21/DM/WS-1754 / 2020_COLAT_611554_1",Maharashtra,Services,,Covid Diet,5,9000000,SHRINIVAS CATERING,,,,,,,,,
62,09-Oct-2020 12:00 AM,21-Sep-2020 6:55 PM,PROVIDING FOOD FOR MEDICAL AND PARAMEDICAL STAFF OF OUTSIDE THE INDORE DISTRICT FOR COVID-19 DUTY/ IDA/ETENDER/2020-21/330 / 2020_DTCP_108192_1,Madhya Pradesh,Services,,Covid HCW - Diet,3,1674000,VEDANT KITCHEN,,,,,,,,,
63,17-Dec-2020 12:00 AM,21-Sep-2020 6:00 PM,"Estimate No. 367/EE/BLD/ 2020_21, Providing 100 KVA Transformer for CT Scan Machine Room in the Premises of General Hospital at KHAMGAON, Dist. Buldhana. Covid_19 work/ E-Tender Notice No. 33/EE/AMT/2020-21 / 2020_PWDM_611347_3",Maharashtra,Works,Goods,Covid Treatment,14,362894,SOMESHWAR ELECTRICAL &ampamp CONTRACTOR,,,,,,,,,
64,10-Nov-2020 12:00 AM,21-Sep-2020 4:45 PM,"Construction of SARI and COVID-19 Hospital at Tribeni, Rangli-Rangliot Block GTA, Darjeeling/ 54/EE/HNFW/NIeT-05/GTA/20-21 / 2020_GTA_297205_1",West Bengal,Works,,Covid Ward,3,40251474.61,M/S SHAKTI CONSTRUCTION,,,,,,,,,
65,21-Oct-2020 12:00 AM,18-Sep-2020 11:00 AM,"Estimate No. 340/NGP/2020 21 Providing additional supply arrangement for up gradation of A.C. units for Covid 19 at Vidhanbhavan, Nagpur./ eTender Notice No.35/2020-21 / 2020_PWDM_610648_1",Maharashtra,Works,,Covid Ward,6,4646133,BALAJI ASSOCIATES,,,,,,,,,
66,24-Nov-2020 12:00 AM,15-Sep-2020 6:30 PM,"Repair and Renovation of Isolation Ward of Midnapore Medical College and Hospital to convert it SARI Isolation and Observation ward to fight against COVID-19 Pandemic under Midnapur Division, P.W.D. during the year 2020-21./ WBPWD/8(1)/EE/MID-DIV/2020-21 / 2020_WBPWD_296479_1",West Bengal,Works,,Covid Ward,12,1335584,JOYDEB GHOSH,,,,,,,,,
