"","Tender_ID","S.No.","AOC.Date","e.Published.Date","Title.and.Ref.No..Tender.Id","State.Name","Organisation.Name","Tender.Ref..No.","Tender.Description","Tender.Type","Number.of.bids.received","Name.of.the.selected.bidder.s.","Address.of.the.selected.bidder.s.","Contract.Value","Tender.Published.Date","Contract.Date","Date.of.Completion.Completion.Period.in.Days","Sno","award_date","Published_date","Title_description","State_name","number_days","day_category"
"11","179625",2324,2020-06-27,2020-06-20,"Providing Oxygen supply to District Hospital, Medak in Medak District/ 03/EE/TSMSIDC/MDK-SRD/2020-21/           Dt: 17.06.2020 / 179625","Telegana"," TS Eprocurement "," 03/EE/TSMSIDC/MDK-SRD/2020-21/           Dt: 17.06.2020 "," Providing Oxygen supply to District Hospital, Medak in Medak District "," 1 ",1," Rameshwar Rao Singam "," null ",607207.46," 20-Jun-2020 02:14 PM ",2020-06-27," 27-Jun-2020 04:54 PM ","37778",2020-06-27,2020-06-20,"Providing Oxygen supply to District Hospital, Medak in Medak District/ 03/EE/TSMSIDC/MDK-SRD/2020-21/           Dt: 1706.2020 / 179625","Telegana",7,"(0,20]"
"12","179634",2323,2020-06-27,2020-06-20,"Providing Oxygen supply to 50 Bedded CHC, Toopran in Medak District/ 03/EE/TSMSIDC/MDK-SRD/2020-21/           Dt: 17.06.2020 / 179634","Telegana"," TS Eprocurement "," 03/EE/TSMSIDC/MDK-SRD/2020-21/           Dt: 17.06.2020 "," Providing Oxygen supply to 50 Bedded CHC, Toopran in Medak District "," 1 ",1," Rameshwar Rao Singam "," null ",404674.59," 20-Jun-2020 02:33 PM ",2020-06-27," 27-Jun-2020 04:55 PM ","37775",2020-06-27,2020-06-20,"Providing Oxygen supply to 50 Bedded CHC, Toopran in Medak District/ 03/EE/TSMSIDC/MDK-SRD/2020-21/           Dt: 1706.2020 / 179634","Telegana",7,"(0,20]"
"13","185262",441,2020-07-22,2020-07-15,"Supply, delivery and installation of 1 no Dual Gas fired and Oil fired Crematorium and construction of amenities at Gopanapally for cremation of COVID 19 dead bodies in Serilingampally Circle-20,SLP Zone, GHMC (Item No.1)/ NIT.No.11/SE/Slp.Zone/GHMC/2020-21, Date: 14.07.2020 / 185262","Telegana"," TS Eprocurement "," NIT.No.11/SE/Slp.Zone/GHMC/2020-21, Date: 14.07.2020 "," Supply, delivery and installation of 1 no Dual Gas fired and Oil fired Crematorium and construction of amenities at Gopanapally for cremation of COVID 19 dead bodies in Serilingampally Circle-20,SLP Zone, GHMC (Item No.1) "," 1 ",2," K.YADAGIRI REDDY "," null ",7705349.7," 15-Jul-2020 11:16 AM ",2020-07-22," 22-Jul-2020 01:55 PM ","28746",2020-07-22,2020-07-15,"Supply, delivery and installation of 1 no Dual Gas fired and Oil fired Crematorium and construction of amenities at Gopanapally for cremation of COVID 19 dead bodies in Serilingampally Circle-20,SLP Zone, GHMC (Item No1)/ NIT.No.11/SE/Slp.Zone/GHMC/2020-21, Date: 14.07.2020 / 185262","Telegana",7,"(0,20]"
"14","185830",316,2020-07-30,2020-07-17,"Providing GI sheet roofing at Asmangadh Reservoir on collapsed slab portion under Asmangadh section, SD-I of OM Div.II/ 26/CGM(E)/OM C.I/DB-Genl/2020-21 date.17.07.2020 / 185830","Telegana"," TS Eprocurement "," 26/CGM(E)/OM C.I/DB-Genl/2020-21 date.17.07.2020 "," Providing GI sheet roofing at Asmangadh Reservoir on collapsed slab portion under Asmangadh section, SD-I of OM Div.II "," 1 ",1," P. SRINIVASULU "," null ",228883.42," 17-Jul-2020 03:28 PM ",2020-07-30," 30-Jul-2020 03:35 PM ","27744",2020-07-30,2020-07-17,"Providing GI sheet roofing at Asmangadh Reservoir on collapsed slab portion under Asmangadh section, SD-I of OM DivII/ 26/CGM(E)/OM C.I/DB-Genl/2020-21 date.17.07.2020 / 185830","Telegana",13,"(0,20]"
"15","186509",199,2020-07-29,2020-07-21,"Supply, delivery and erection of Twin Bio-Toilets at Shathavahana Colony Road No.9 (Near Sagar X Road), Green Park Colony Near  Max Hospital,L B Nagar old village ward office near metro station and CM road back side of govt High school  in Ward No. 18, Lingojigudaof L.B. Nagar Circle-4, GHMC. .(4 locations)/ 12/EEC-4/LBNR/GHMC/131/2020-21, Dt:21.07.2020. / 186509","Telegana"," TS Eprocurement "," 12/EEC-4/LBNR/GHMC/131/2020-21, Dt:21.07.2020. "," Supply, delivery and erection of Twin Bio-Toilets at Shathavahana Colony Road No.9 (Near Sagar X Road), Green Park Colony Near  Max Hospital,L B Nagar old village ward office near metro station and CM road back side of govt High school  in Ward No. 18, Lingojigudaof L.B. Nagar Circle-4, GHMC. .(4 locations) "," 1 ",1," THOTA VIJENDER YADAV "," null ",402636.25," 21-Jul-2020 04:37 PM ",2020-07-29," 29-Jul-2020 04:41 PM ","26654",2020-07-29,2020-07-21,"Supply, delivery and erection of Twin Bio-Toilets at Shathavahana Colony Road No9 (Near Sagar X Road), Green Park Colony Near  Max Hospital,L B Nagar old village ward office near metro station and CM road back side of govt High school  in Ward No. 18, Lingojigudaof L.B. Nagar Circle-4, GHMC. .(4 locations)/ 12/EEC-4/LBNR/GHMC/131/2020-21, Dt:21.07.2020. / 186509","Telegana",8,"(0,20]"
"16","186658",171,2020-07-24,2020-07-22,"Providing of 2 Nos New 7.5 Mtrs. Octagonal poles Beside Virinchi Hospital, Road No.1,  Banjarahills in  Khairatabad Division of Khairatabad Circle  Zone, GHMC./ Short NIT No.08/EE (Elec.)/KZ/A.E (T)/GHMC/2020-21/Item No.01, Dated:22.07.2020 / 186658","Telegana"," TS Eprocurement "," Short NIT No.08/EE (Elec.)/KZ/A.E (T)/GHMC/2020-21/Item No.01, Dated:22.07.2020 "," Providing of 2 Nos New 7.5 Mtrs. Octagonal poles Beside Virinchi Hospital, Road No.1,  Banjarahills in  Khairatabad Division of Khairatabad Circle  Zone, GHMC. "," 1 ",1," Syed Khaja  Shamsuddin "," null ",43322.07," 22-Jul-2020 04:13 PM ",2020-07-24," 24-Jul-2020 04:57 PM ","26295",2020-07-24,2020-07-22,"Providing of 2 Nos New 75 Mtrs. Octagonal poles Beside Virinchi Hospital, Road No.1,  Banjarahills in  Khairatabad Division of Khairatabad Circle  Zone, GHMC./ Short NIT No.08/EE (Elec.)/KZ/A.E (T)/GHMC/2020-21/Item No.01, Dated:22.07.2020 / 186658","Telegana",2,"(0,20]"
"17","189852",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19984",2020-08-19,2020-08-14,"Providing of temporary lighting arrangements at oppMilitary Hospital Lunger House in view of Urs-E-Shareef of Dargah Hzt. Syed Shah Meeran Hussaini Baghdadi (RA) in lunger house division of Karwan Circle for four days i.e., 17-08-2020 to 20-08-2020/ Short NIT No.13/EE (Elec.)/KZ/A.E (T)/GHMC/2020-21/Item No.01, Dated:14.08.2020 / 189852","Telegana",5,"(0,20]"
"18","201193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3426",2020-11-02,2020-10-21,"Remodelling of SW drain by laying RCC slab from HNo.12-2-4/5/2 to Bruce Lee Hotel and Development of footpath at Junction in Priya Colony under Asifnagar-72, Ward-12, Circle-12, KZ, GHMC (Item No.08/ 21/EE/CIRCLE-12/KZ/GHMC/2020-21, Dated:20.10.2020 (Item No.08) / 201193","Telangana",12,"(0,20]"
"19","2019_HBPCL_520531_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53260",2020-08-11,2020-05-04,"Tender No E-2137 /HBPCL/PC/ Supply Installation Testing and Commissioning of Medical Gas Piping system and Operation Theater Items /2019-20/ Tender No. E-2137 /HBPCL/PC/ Supply Installation T / 2019_HBPCL_520531_2","Maharashtra",99,"(60,Inf]"
"20","2019_NWCMC_520856_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"56539",2020-09-07,2020-04-15,"Repairing leakages in Over Head Wash Tank Slab and other work of Kabranagar Water Supply Plant of NWCMC Nanded (Second Call)/ NWCMC/WS/ET/10500/12/12/19/W2 / 2019_NWCMC_520856_2","Maharashtra",145,"(60,Inf]"
"21","2020_AGRUP_537117_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15",2020-12-21,2020-12-12,"kishan prasikshan kisan gosthi and krishi nivesh mela mai tent and electric sambandhi saman kiraye per uplabd karena hetu/ 2195/Krishi/Nivida/lekha Dt 01-12-2020 / 2020_AGRUP_537117_1","Uttar Pradesh",9,"(0,20]"
"22","2020_AGUJD_194536_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21152",2020-09-01,2020-08-11,"Unskilled, skilled, highly skilled labour for agriculture work office etc under College of Agriculture Mandor&amp;#x0d;\nJodhpur/ 730 / 2020_AGUJD_194536_1","Rajasthan",21,"(20,60]"
"23","2020_AHMED_565651_1",16613,2020-04-02,2020-03-16,"Constructing Cement Concret Road (Baban Bhagat To Medical Chouck)  At Shendi. Tal. Dist . Ahmednagar./ GP TENDER/WORKS/2019_20 / 2020_AHMED_565651_1","Maharashtra"," RDD-CEO-RAIGAD||RAIGAD-WORKS DIV. "," ZP-RAIGAD-WORKDIV-143-2019-20 "," Construction of  Anganwadi Building At-Wadgaon Tal. Alibag "," Works ",3," Shailesh Sambhaji Patil,Chakrapani Parshuram Mhatre,RAKESH RAJU MAGAR ","  ",841293," 16-Mar-2020 10:00 AM ",2020-03-31," 01-Jan-1970 05:30 AM ","61467",2020-04-02,2020-03-16,"Constructing Cement Concret Road (Baban Bhagat To Medical Chouck)  At Shendi Tal. Dist . Ahmednagar./ GP TENDER/WORKS/2019_20 / 2020_AHMED_565651_1","Maharashtra",17,"(0,20]"
"24","2020_AHMED_567556_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"59983",2020-05-14,2020-03-19,"Supplying Verious Material for Contruction of New Anganwadi Building in Wadarwadi  at Chas Tal Nagar  Dist Ahmednagar/ GP/CHAS/02/2019-20 / 2020_AHMED_567556_1","Maharashtra",56,"(20,60]"
"25","2020_AHMED_568584_1",14962,2020-03-30,2020-03-20,"Repair road near Mhaske Patil Hospital From Thorat hpose to Dodke house At Babhaleshwar/ P.S.RAH /CESS./MSS/ 09/ 2019-20 / 2020_AHMED_568584_1","Maharashtra"," RDD-CEO-AHMEDNAGAR||AHMEDNAGAR-Dy. CEO V.P.||RAHATA "," P.S.RAH /CESS./MSS/ 09/ 2019-20 "," Repair road near Mhaske Patil Hospital From Thorat hpose to Dodke house At Babhaleshwar "," Works ",3," Vilas M.S.S. ","  ",262668," 20-Mar-2020 02:45 PM ",2020-03-30," 01-Jan-1970 05:30 AM ","59340",2020-03-30,2020-03-20,"Repair road near Mhaske Patil Hospital From Thorat hpose to Dodke house At Babhaleshwar/ PS.RAH /CESS./MSS/ 09/ 2019-20 / 2020_AHMED_568584_1","Maharashtra",10,"(0,20]"
"26","2020_AHMED_569890_1",14071,2020-04-28,2020-03-25,"Distribution To Vetalababa ESR To Vijay Pansare (Kimaba Ali) At Jekhuri Tal Sangamner/ GpJakhuri2019-20/MSS/1 / 2020_AHMED_569890_1","Maharashtra"," RDD-CEO-AHMEDNAGAR||AHMEDNAGAR-Dy. CEO V.P.||SANGAMNER||JAKHURI "," GpJakhuri2019-20/MSS/1 "," Distribution To Vetalababa ESR To Vijay Pansare (Kimaba Ali) At Jekhuri Tal Sangamner "," Works ",3," SHRINATH MAHARAJ MAJOOR SAHAKARI SANSHTA ","  ",364247," 25-Mar-2020 11:00 AM ",2020-04-28," 01-Jan-1970 05:30 AM ","58135",2020-04-28,2020-03-25,"Distribution To Vetalababa ESR To Vijay Pansare (Kimaba Ali) At Jekhuri Tal Sangamner/ GpJakhuri2019-20/MSS/1 / 2020_AHMED_569890_1","Maharashtra",34,"(20,60]"
"27","2020_AHMED_590788_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32824",2020-10-15,2020-07-03,"Construction of  Anganwadi at Jawala (Salke Mala) Tal Parner/ ZPPWS/WORKS/100/2019-20 / 2020_AHMED_590788_1","Maharashtra",104,"(60,Inf]"
"28","2020_AHMED_598020_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25256",2020-12-10,2020-07-27,"Providing And Fixing Paving Block Smashanbhumi At Deulgaon Galande Village Tal Shrigonda Dist Ahmednagar/ GP/ ETENDER/ FFC/ OPEN/ CIVILWORK/ 2019-20/ 2 / 2020_AHMED_598020_1","Maharashtra",136,"(60,Inf]"
"29","2020_AHMED_614139_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6625",2020-12-14,2020-10-05,"Providing Infrastructure For Smashanbhumi At Lonivynkanath Village Tal Shrigonda Dist Ahmednagar/ GP/ E TENDER/ FFC/ CIVIL WORK/ UE/ 2019-20 / 2 / 2020_AHMED_614139_1","Maharashtra",70,"(60,Inf]"
"30","2020_AHMED_620607_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2380",2020-12-01,2020-10-30,"Providing Chain Link Fenching For Smashanbhumi/ VP/MLHIVARE/2020_7 / 2020_AHMED_620607_1","Maharashtra",32,"(20,60]"
"31","2020_AHMED_623989_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"491",2020-12-01,2020-11-20,"BOQ/ Et/14va/WCompund/DSmashanbhumi / 2020_AHMED_623989_1","Maharashtra",11,"(0,20]"
"32","2020_AKOLA_574226_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53493",2020-08-12,2020-05-04,"S/R TO PHC SUB CENTRE BUILDING AT BHAMBERI TQ TELHARA DIST AKOLA/ GP Bhamberi Tender Notice 2020-21 / 2020_AKOLA_574226_1","Maharashtra",100,"(60,Inf]"
"33","2020_AMRAV_619822_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2748",2020-12-09,2020-10-27,"Supply of Material for Construction of Anganwadi Building At Jawardi, G.P. Jawardi, Tq. Achalpur/ NO/GP JAWARDI/PS ACHALPUR/1/2020-21 / 2020_AMRAV_619822_1","Maharashtra",43,"(20,60]"
"34","2020_AMRAV_621314_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2071",2020-12-07,2020-11-02,"Supply of Material for Construction of Smashanbhumi Shed At Yelkipurna, GP. Yelkipurna, Tq. Achalpur/ NO/GP YELKIPURNA/PS ACHALPUR/2/2020-21 / 2020_AMRAV_621314_1","Maharashtra",35,"(20,60]"
"35","2020_AMRAV_624462_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"270",2020-12-11,2020-11-26,"Supply of Material for Construction of Anganwadi Building At Bhugaon, G.P. Bhugaon, Tq. Achalpur/ NO/GP BHUGAON/PS ACHALPUR/1/2020-21 / 2020_AMRAV_624462_1","Maharashtra",15,"(0,20]"
"36","2020_APHC_18181_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25980",2020-12-09,2020-07-23,"RCC 2 Storied PS Building with provision of Reception and Conference Hall with Cyber Room etc in existing PS at Kaliabor PS in Nagaon District under MOITRI Scheme(Balance Work)/ APHC/CS/33/2019-20_Kaliabor / 2020_APHC_18181_1","Assam",139,"(60,Inf]"
"37","2020_APHC_18182_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25979",2020-12-09,2020-07-23,"2 Storied RCC LS qtr 8units 1Bldg  Civil Works, Sanitary etc at Charaipung PS in Sivsagar Dist. under 13th F.C.A for the year 2012-13 (Balance Work)/ APHC/CS/64/2018-19_Charaipung / 2020_APHC_18182_1","Assam",139,"(60,Inf]"
"38","2020_APHC_18183_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25977",2020-12-09,2020-07-23,"2 Storied RCC LS qtr 8units 1 Bldg Civil Works, Sanitary etc at Hamren PS in Karbi Anglong Dist. under 13th F.C.A for the year 2013-14 (Balance Work)/ APHC/CS/68/2018-19_Hamren / 2020_APHC_18183_1","Assam",139,"(60,Inf]"
"39","2020_APHC_18493_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16909",2020-12-09,2020-08-25,"Construction of  RCC 3 storied PS Bldg with Provision of Reception and conference hall etc in existing police station at Tingkhong P.S. in Dibrugarh Dist under MOITRI Scheme. (Balance work)/ APHC/CS/07/2020-21_Tingkhong / 2020_APHC_18493_1","Assam",106,"(60,Inf]"
"40","2020_APWD_1101_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9440",2020-11-24,2020-09-22,"Up gradation of Anganwadi Centre at Lal Bijan/ NIT No. 53/EE/RCD/APWD/WG/2020-21 / 2020_APWD_1101_1","Andaman and Nicobar Island",63,"(60,Inf]"
"41","2020_APWD_128_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34866",2020-12-09,2020-06-29,"Renovation of existing Female ward at CHC Bambooflat (GF) (Under RURBAN MISSION Scheme)/ NIT No 09/EE/RCD/APWD/WG/2020-21 / 2020_APWD_128_2","Andaman and Nicobar Island",163,"(60,Inf]"
"42","2020_APWD_245_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37415",2020-08-04,2020-06-22,"Replacement of Conventional Fluorescent Fitting with LED Fitting of Primary Health Centre at Hut Bay, Little Andaman/ NIT No 86/EE/EandM/19-20 / 2020_APWD_245_1","Andaman and Nicobar Island",43,"(20,60]"
"43","2020_APWD_616_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24288",2020-09-26,2020-07-29,"Repair and Renovation of Anganwadi Centre at Brindaban-I/ NIT No35/EE/RCD/APWD/WG/2020-21 / 2020_APWD_616_1","Andaman and Nicobar Island",59,"(20,60]"
"44","2020_APWD_945_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12267",2020-11-27,2020-09-11,"Conversion of conventional lamps / fittings to LED lamps / fittings at Dr R.P. Hospital Mayabunder under Medical Department./ NIT NO.17/EE/NACD/2020-21 / 2020_APWD_945_1","Andaman and Nicobar Island",77,"(60,Inf]"
