"","Sno","award_date","Published_date","Title_description","State_name","Tender_ID","number_days","day_category"
"11","67260",2020-10-27,2020-03-03,"CONSTRUCTION OF CEMENT CONCRETE  GUTTER  AT BHARAT NAGAR JAMCHA  MALA  CHALISHGOAN  ROAD  BHARAT  NAGAR  BOARD  TO  ASIF  PATHAN  HOUSE  AND  HAWALDAR  HOUSE  TO  HASNAIN  MASJID AND  YAKUB  WAYARMAN  HOUSE  TO  ANIS  SHAH  HOUSE  AND  ISMILE   VENDE/ DHULE/DMC/ WD/ DMC Fund / 81 / 1-3 /2019-20 / 2020_DMCD_559065_1","Maharashtra","2020_DMCD_559065_1",238,"(60,Inf]"
"12","67209",2020-03-16,2020-03-03,"Boring   Installation of Mark ii Tube-Well  at Baligeria ICDS/ PRADHAN/KUL/e-NIT/2019-2020/05 / 2020_ZPHD_276474_1","West Bengal","2020_ZPHD_276474_1",13,"(0,20]"
"13","67157",2020-05-27,2020-03-03,"Construction of 30 Bedded MCH Building at SDH Budhlada District Mansa/ PHSC/EE (W)/2019-20/39 / 2020_DHFW_44545_4","Punjab","2020_DHFW_44545_4",85,"(60,Inf]"
"14","67103",2020-04-06,2020-03-03,"Improvement of Concrete road from Rabi Xerox to Salar Katwa road under Bharatpur-II/ 370/MSDP Available Fund/Bh-II / 2020_ZPHD_276702_2","West Bengal","2020_ZPHD_276702_2",34,"(20,60]"
"15","67081",2020-06-11,2020-03-03,"Construction of concrete drain (With two slab culvertss)&amp;#x0d;\nfrom Sarat Barmans house to Saben Roy Dakuas house&amp;#x0d;\nand from Rathin Barmans house to Baban Pauls house&amp;#x0d;\nin Ward No- 10 under Mathabhanga Municipality./ MM/NIeT/02/19-20 / 2020_MAD_276619_12","West Bengal","2020_MAD_276619_12",100,"(60,Inf]"
"16","66941",2020-03-27,2020-03-04,"PRABHAG KR 19 A LOHIYANAGAR MADHIL RANMARD SULABH SHAUCHALAYACHYA MAAGE DRENEJ LAAIN TAAKNE V TADANUSHANGIK KAAME KARNE/ PMC/DMC-5/BHAVANI/2019/490 / 2020_PMCP_556085_1","Maharashtra","2020_PMCP_556085_1",23,"(20,60]"
"17","66887",2020-10-08,2020-03-04,"supply and Installation of Equipment related to O and G Department for all Medical College Hospitals of Assam/ DME/OG/131/2019/3230 dt 2/3/2020 / 2020_HFWD_16935_1","Assam","2020_HFWD_16935_1",218,"(60,Inf]"
"18","66844",2020-06-10,2020-03-04,"AMLAKARA ICDS REPAIR/ 13/BAR/2019-20 / 2020_ZPHD_276790_1","West Bengal","2020_ZPHD_276790_1",98,"(60,Inf]"
"19","66846",2020-06-10,2020-03-04,"CONSTRUCTION OF BOUNDARY WALL AT RAMCHANDRAPUR PRIMARY SCHOOL/ 11/BAR/2019-20 / 2020_ZPHD_276685_2","West Bengal","2020_ZPHD_276685_2",98,"(60,Inf]"
"20","66798",2020-03-19,2020-03-04,"Construction of street, drain and slab in Ward No03/ Re-Call Tender / 2020_HRY_121421_6","Haryana","2020_HRY_121421_6",15,"(0,20]"
"21","66613",2020-06-15,2020-03-04,"Construction of Compound wall to Anganwadi Building at Lokhande wasti Wakhari/ GP/ET/1/14VT/2019-20 / 2020_SOLAP_559885_1","Maharashtra","2020_SOLAP_559885_1",103,"(60,Inf]"
"22","66521",2020-06-11,2020-03-04,"Piped Water Supply Scheme At Arale PHC  Tal Karveer, Dist Kolhapur/ E TENDER NO 150 / 2019-2020 / 2020_KOLHA_560073_1","Maharashtra","2020_KOLHA_560073_1",99,"(60,Inf]"
"23","66510",2020-03-16,2020-03-04,"Construction of Concrete road  from Nikhil Ghosh to ICDS  Centre  sansad-I under Malopara Gram PanchayatAAP NO-135/2019-20./ 03/maloparagp/2019-20 / 2020_ZPHD_277048_1","West Bengal","2020_ZPHD_277048_1",12,"(0,20]"
"24","66422",2020-07-03,2020-03-05,"Upgradation of West Champamura Health Sub Centre to Health and Wellness Centre under Old Agartala RD Block DT-148 Dated - 25/02/2020/ 148/EE/RDAD/2019-20 Dt-25/02/2020 / 2020_CERDD_8987_1","Tripura","2020_CERDD_8987_1",120,"(60,Inf]"
"25","66403",2020-08-07,2020-03-05,"Upgradation of Shantinagar Health Sub Centre to Health and Wellness Centre under Belbari RD Block DT-143 Dated 25/02/2020/ 143/EE/RDAD/2019-20 Dt-25/02/2020 / 2020_CERDD_8979_1","Tripura","2020_CERDD_8979_1",155,"(60,Inf]"
"26","66405",2020-07-11,2020-03-05,"Supply of Laboratory Equipments to the Biochemistry department/ 011/SFS-RUSA/2020 / 2020_RUSA_560033_1","Maharashtra","2020_RUSA_560033_1",128,"(60,Inf]"
"27","66371",2020-04-21,2020-03-05,"LABOUR CARTAGE HWC SAMALKHA/ LABOUR CARTAGE HWC SAMALKHA / 2020_HRY_121859_1","Haryana","2020_HRY_121859_1",47,"(20,60]"
"28","66375",2020-04-21,2020-03-05,"LABOUR CARTAGE HWC NAULTHA MANDI/ LABOUR CARTAGE HWC NAULTHA / 2020_HRY_121855_1","Haryana","2020_HRY_121855_1",47,"(20,60]"
"29","66376",2020-04-21,2020-03-05,"LABOUR CARTAGE HWC BAPOLI/ LABOUT CARTAGE HWC BAPOLI / 2020_HRY_121813_1","Haryana","2020_HRY_121813_1",47,"(20,60]"
"30","66367",2020-10-07,2020-03-05,"Upgradation of Khamtingbari Health Sub Centre to Health and Wellness Centre under Mandwi RD Block  DT-160 Dated 25/02/202/ 160/EE/RDAD/2019-20 Dt-25/02/2020 / 2020_CERDD_9020_1","Tripura","2020_CERDD_9020_1",216,"(60,Inf]"
"31","66347",2020-10-07,2020-03-05,"Upgradation of West Devendra Nagar Health Sub Centre to Health and Wellness Centre under Jirania RD Block DT-137 Dated - 25/02/2020/ 137/EE/RDAD/2019-20 Dt-25/02/2020 / 2020_CERDD_8969_1","Tripura","2020_CERDD_8969_1",216,"(60,Inf]"
"32","66350",2020-08-20,2020-03-05,"Upgradation of Dupchara Health Sub Centre to Health and Wellness Centre under Old Agartala RD Block DT-147 Dated- 25/02/2020/ 147/EE/RDAD/2019-20 Dt-25/02/2020 / 2020_CERDD_8986_1","Tripura","2020_CERDD_8986_1",168,"(60,Inf]"
"33","66324",2020-05-22,2020-03-05,"Construction of Slab Culvert on Talni Hanuman Nagar App Road. Tq.Motala  Dist. Buldana&amp;#x0d;/ e-Tender Notice 23-2019-20 / 2020_BULDH_555770_5","Maharashtra","2020_BULDH_555770_5",78,"(60,Inf]"
"34","66326",2020-07-01,2020-03-05,"Upgradation of Rabia Sardar Health Sub Centre to Health and Wellness Centre under Mandwi RD Block   DT-163 Dated 25/02/202/ 163/EE/RDAD/2019-20 Dt-25/02/2020 / 2020_CERDD_9023_1","Tripura","2020_CERDD_9023_1",118,"(60,Inf]"
"35","66328",2020-08-07,2020-03-05,"Upgradation of Belmura Health Sub Centre to Health and Wellness Centre under Old Agartala RD Block  DT-149 Dated 25/02/2020/ 149/EE/RDAD/2019-20 Dt-25/02/2020 / 2020_CERDD_8989_1","Tripura","2020_CERDD_8989_1",155,"(60,Inf]"
"36","66286",2020-05-29,2020-03-05,"Construction of Toilet Block at Dhoksangavi Smashanbhumi, Tal-Shirur/ GP/Tender/2019-20/9 / 2020_RDPUN_560082_3","Maharashtra","2020_RDPUN_560082_3",85,"(60,Inf]"
"37","66290",2020-05-29,2020-03-05,"Construction of Sabhamandap in Smashanbhumi Area for Dashkriya at Village Dhoksangavi, Tal-Shirur/ GP/Tender/2019-20/9 / 2020_RDPUN_560082_1","Maharashtra","2020_RDPUN_560082_1",85,"(60,Inf]"
"38","66218",2020-05-12,2020-03-05,"food facility for diet/ CSRAISEN/1340-02-03-2020 / 2020_DHS_82766_1","Madhya Pradesh","2020_DHS_82766_1",68,"(60,Inf]"
"39","66145",2020-11-12,2020-03-05,"TENDER FOR SUPPLYING  MEDICINES TO TALUK HOSPITAL KARUNAGAPPALLY UNDER VARIOUS SCHEME (KASP,JSSK,AK,RBSK)FOR THE YEAR 2020-2021/ D/1022/2020/S / 2020_DHS_348086_1","Kerala","2020_DHS_348086_1",252,"(60,Inf]"
"40","66093",2020-05-15,2020-03-05,"Repairs to Primary Health Sub Centre at Bharaswada Tq.  Dist. Parbhani. (Under  D.P.D.C. Fund 2019-20)./ ZPPBN/WD/eTENDER/118/2019-20 / 2020_PARBH_560476_1","Maharashtra","2020_PARBH_560476_1",71,"(60,Inf]"
"41","66081",2020-08-31,2020-03-05,"Construction of Sakav (Slab Drain) at Parpoli Ovaliye Vahal Harijanwadi Tal Sawantwadi DistSindhudurg/ SWD/NIT/MSS/NO.59 FOR 2019-20 / 2020_PWR_560518_4","Maharashtra","2020_PWR_560518_4",179,"(60,Inf]"
"42","66070",2020-06-18,2020-03-05,"Construction Of Anganwadi Building  At  Jarikot   Tq. Dharmabad/ ZPND/WD(N)e.TEN 10/ UEE /19-20 / 2020_NANDE_544312_22","Maharashtra","2020_NANDE_544312_22",105,"(60,Inf]"
"43","66041",2020-11-03,2020-03-05,"Construction Of Anganwadi Building  At  Umra  Tq. Loha/ ZPND/WD(N)e.TEN 10/ UEE /19-20 / 2020_NANDE_544312_24","Maharashtra","2020_NANDE_544312_24",243,"(60,Inf]"
"44","66035",2020-04-15,2020-03-05,"Labour and Cartage Works/ LMC/2020-21/(HWC )Naneola DisttAmbala / 2020_HRY_122183_1","Haryana","2020_HRY_122183_1",41,"(20,60]"
"45","66011",2020-05-11,2020-03-05,"Land scaping work in Police Lines, Moginand Panchkula/ 2020/HPHC/FEB-03/ 06 / 2020_HBC_122164_1","Haryana","2020_HBC_122164_1",67,"(60,Inf]"
"46","65983",2020-07-01,2020-03-05,"Stationary and Printing/ 1245 / 2020_DHS_82617_1","Madhya Pradesh","2020_DHS_82617_1",118,"(60,Inf]"
"47","65988",2020-08-24,2020-03-05,"Construction of  Primary  Health  Cnter  Building    at   POPHLAJ          Tal -Karmala      Dist Solapur/ Construction of  Primary  Health  Cnter  Building / 2020_SOLAP_560645_1","Maharashtra","2020_SOLAP_560645_1",172,"(60,Inf]"
"48","65892",2020-11-24,2020-03-05,"Civil work for setting up of Suswasthya Kendra at Ranjapur(Rashidpur GP)  SC underJangipara Block/ NIT- 06 of 2019-20( Engg Sec) / 2020_HFW_277128_13","West Bengal","2020_HFW_277128_13",264,"(60,Inf]"
"49","65893",2020-11-24,2020-03-05,"Civil work for setting up of Suswasthya Kendra at Morhal(Rajbalhat-II)  SC underJangipara Block/ NIT- 06 of 2019-20( Engg Sec) / 2020_HFW_277128_11","West Bengal","2020_HFW_277128_11",264,"(60,Inf]"
"50","65894",2020-11-24,2020-03-05,"Civil work for setting up of Suswasthya Kendra at Nikas(Dilakash GP)  SC underJangipara Block/ NIT- 06 of 2019-20( Engg Sec) / 2020_HFW_277128_12","West Bengal","2020_HFW_277128_12",264,"(60,Inf]"
"51","65881",2020-08-17,2020-03-05,"MLA ADS 2018-19 - Smt J Mercykutty Amma,  Minister for Fisheries and Harbour  MLA, Kundara LAC  - Second stage protection work to the Ashaanmoola Kallingal Anganwadi Road Protection wall and Road Concrete in Ellampalloor Grama Panchaya/ 06/EE/2020 / 2020_LSGD_347717_17","Kerala","2020_LSGD_347717_17",165,"(60,Inf]"
"52","65882",2020-11-24,2020-03-05,"Civil work for setting up of Suswasthya Kendra at Kapasharia  SC underChanditala II Block/ NIT- 06 of 2019-20( Engg Sec) / 2020_HFW_277128_6","West Bengal","2020_HFW_277128_6",264,"(60,Inf]"
"53","65884",2020-06-19,2020-03-05,"Repair and  renovation of Eden Hospital (District Hospital) Kitchen at Darjeeling (RN-19000926)/ GTA/EE/ CPQC and P-E /NIeT -41(1st Call) of 2019-2 / 2020_GTA_277352_1","West Bengal","2020_GTA_277352_1",106,"(60,Inf]"
"54","65866",2020-11-24,2020-03-05,"Civil work for setting up of Suswasthya Kendra at Gopinathpur-I GPHQ( Narayanpur)  under Dhaniakhali Block/ NIT- 05 of 2019-20( Engg Sec) / 2020_HFW_276857_17","West Bengal","2020_HFW_276857_17",264,"(60,Inf]"
"55","65828",2020-07-15,2020-03-05,"PLJ of Pipeline for replacement of old and wornout pipeline of distribution lines under Kabir Ashram OHSR/ ACE-I/NIT17/19-20 / 2020_PHCJO_180115_1","Rajasthan","2020_PHCJO_180115_1",132,"(60,Inf]"
"56","65777",2020-05-15,2020-03-05,"Repairs to Residential Building in the premises of Govt Medical College Hospital at Latur Tq. and Dist. Latur/ Notice No. B-1 LTR- 17/18 For 2019-2020 E-Tender / 2020_PWR_555714_7","Maharashtra","2020_PWR_555714_7",71,"(60,Inf]"
"57","65778",2020-10-10,2020-03-05,"Construction of Concrete Road and Slab at different places within Ward-10 under DMC/ WBDMC/COMM/PW/NIT-307/19-20 / 2020_MAD_277264_1","West Bengal","2020_MAD_277264_1",219,"(60,Inf]"
"58","65755",2020-07-23,2020-03-06,"Construction of Govt Veterinary Hospital at Saniyana in Fatehabad Distt. (C.M Announcement Code No. 20196 dated 24.10.2017)/ PWD/FTB/Construction of Govt. Veterinary Hospital / 2020_HRY_122278_1","Haryana","2020_HRY_122278_1",139,"(60,Inf]"
"59","65733",2020-07-03,2020-03-06,"Upgradation and Renovation of Bagaban Chowdhury Para Sub Centre of Bidhya Debbarma Memorial PHC under Lefunga RD  Block during 2019-20 DT-125 Dated 24/02/2020/ 125/EE/RDAD/2019-20 Dt-24/02/2020 / 2020_CERDD_9044_1","Tripura","2020_CERDD_9044_1",119,"(60,Inf]"
"60","65718",2020-07-31,2020-03-06,"Upgradation and Renovation of Fatikcherra Sub Centre of Bamutia PHC under Mohanpur RD Block during 2019-20  DT-123 Dated 24/02/2020/ 123/EE/RDAD/2019-20 Dt-24/02/2020 / 2020_CERDD_9083_1","Tripura","2020_CERDD_9083_1",147,"(60,Inf]"
"61","65719",2020-07-31,2020-03-06,"Upgradation and Renovation of Simna Sub Centre of Katlamara PHC under Mohanpur RD Block during 2019-20   DT-117 Dated 24/02/2020/ 117/EE/RDAD/2019-20 Dt-24/02/2020 / 2020_CERDD_9076_1","Tripura","2020_CERDD_9076_1",147,"(60,Inf]"
"62","65700",2020-07-07,2020-03-06,"Upgradation and Renovation of Budhjungnagar Sub Centre of Bidhya Debbarma Memorial PHC under Lefunga RD Block during 2019-20   DT-127 Dated 24/02/2020/ 127/EE/RDAD/2019-20 Dt-24/02/2020 / 2020_CERDD_9046_1","Tripura","2020_CERDD_9046_1",123,"(60,Inf]"
"63","65546",2020-06-05,2020-03-06,"Construction of Slab Culvert near Gokul Mandal Land  at Ullajote Sansad within Binnabari Gram Panchatay under FFC Fund for the year 2019-20/ 10/BBGP/2019-20 / 2020_DMD_277360_1","West Bengal","2020_DMD_277360_1",91,"(60,Inf]"
"64","65501",2020-04-06,2020-03-06,"SELECTION OF AGENCY PROVIDING  SEMI SKILLED OUTSOURCE MANPOWER SERVICES/ NIT623KNWOUTSOURCE / 2020_DHS_83039_1","Madhya Pradesh","2020_DHS_83039_1",31,"(20,60]"
"65","65453",2020-06-27,2020-03-06,"Munj Sagar Talab Ram Ghat beautification and Construction of CC Road and Beautification of Ganesh Mandir garden and Ganesh Mandir Ghat and development work in Munj Sagar Ward No 1/ 1515 / 2020_UAD_82829_1","Madhya Pradesh","2020_UAD_82829_1",113,"(60,Inf]"
"66","65456",2020-04-06,2020-03-06,"SUPPLY FURNITURE AND EQUIPMENT (DEIC)/ NHM/DEIC/01 / 2020_DHS_560865_1","Maharashtra","2020_DHS_560865_1",31,"(20,60]"
"67","65436",2020-04-28,2020-03-06,"Medical Staff Quarter at Ambadola in the District of Rayagada/ EERWRGD - Online - 10/-2019-20 / 2020_CERWI_60490_16","Odisha","2020_CERWI_60490_16",53,"(20,60]"
"68","65377",2020-11-09,2020-03-06,"Construction of Sub Health Centre Dispensary at Village Gulabad in Palwal Distt ic P.H and Boundary Wall etc. Re-Tender/ Re-Tender/PWD/Palwal/44384/1 / 2020_HRY_122288_1","Haryana","2020_HRY_122288_1",248,"(60,Inf]"
"69","65331",2020-07-16,2020-03-06,"Construction of Police Chowki, Ringnod distt Dhar/ 16/2019-20/2 / 2020_MPPHC_83030_1","Madhya Pradesh","2020_MPPHC_83030_1",132,"(60,Inf]"
"70","65332",2020-07-16,2020-03-06,"Repairing Work of Old Building at PT.C. Indore/ 16/2019-20/6 / 2020_MPPHC_83034_1","Madhya Pradesh","2020_MPPHC_83034_1",132,"(60,Inf]"
"71","65312",2020-08-18,2020-03-06,"Construction of Parking Shed at DR.P. line Burhanpur/ 16/2019-20/9 / 2020_MPPHC_83037_1","Madhya Pradesh","2020_MPPHC_83037_1",165,"(60,Inf]"
"72","65319",2020-07-16,2020-03-06,"Construction of Police Chowki, Mandavgarh distt Dhar/ 16/2019-20/1 / 2020_MPPHC_83029_1","Madhya Pradesh","2020_MPPHC_83029_1",132,"(60,Inf]"
"73","65275",2020-12-07,2020-03-06,"Estimate No 1380/WAR/2019 20   Providing  Stretcher Lift G 1 and Passenger Lift G 2 at District General Hospital,Wardha Sub work 1 Lift/ eTender Notice No.179/2019-20(Recall) / 2020_PWDM_561434_1","Maharashtra","2020_PWDM_561434_1",276,"(60,Inf]"
"74","65161",2020-10-15,2020-03-06,"Special repair of Sub Health Centre at Village Bamnikhera in Palwal Distt Re-Tender/ Re-Tender/PWD/Palwal/44511/3 / 2020_HRY_122484_1","Haryana","2020_HRY_122484_1",223,"(60,Inf]"
"75","65163",2020-04-20,2020-03-06,"SR to PHC building at Barangakachhar for the year 201920/ Online-EESNG-18 of 2019-20 / 2020_CERWI_60483_5","Odisha","2020_CERWI_60483_5",45,"(20,60]"
"76","65121",2020-10-08,2020-03-06,"Special repair of Sub Health Centre at Village Asaota in Palwal Distt Re-Tender/ Re-Tender/PWD/Palwal/44511/1 / 2020_HRY_122475_1","Haryana","2020_HRY_122475_1",216,"(60,Inf]"
"77","65061",2020-03-23,2020-03-06,"Construction of PCC Road from Main Road to ICDS School at Kanaipal Under Belatikri Gram Panchayat (2nd Call)/ JGM/BINPUR-I/BEL-65 / 2020_ZPHD_276854_8","West Bengal","2020_ZPHD_276854_8",17,"(0,20]"
"78","65069",2020-06-17,2020-03-06,"HSS lab block (G plus 2), Vertical expansion of HSS classroom block (1st and 2nd floor), Kitchen and Dining, Vertical expansion of HS block (1st and 2nd floor), RCC Retaining wall, Sump tank, Septic tank, external water supply, Electrical works/ NIT/INKEL/KIIFB/2019-20/084 dated 06/03/2020 / 2020_INKEL_348539_1","Kerala","2020_INKEL_348539_1",103,"(60,Inf]"
"79","65046",2020-08-28,2020-03-06,"Upgradation and Renovation of Purba Tamakari Sub Centre of Chachubazar PHC under Hezamara RD Block during 2019-20 DT-111 Dated 24/02/2020/ 111/EE/RDAD/2019-20 Dt-24/02/2020 / 2020_CERDD_9101_1","Tripura","2020_CERDD_9101_1",175,"(60,Inf]"
"80","65031",2020-03-18,2020-03-06,"Construction of PCC road from Nabirs house towards Elaboxs house at Kirtoniapara/ 19/CGP/14thCFC(BG)/2019-2020 / 2020_ZPHD_277754_4","West Bengal","2020_ZPHD_277754_4",12,"(0,20]"
"81","65036",2020-11-25,2020-03-06,"Repairs to 288 bedded Hospital Building Nurses Hostel  OPD Adminitrative Building and Girls Hostel at SRTRMC Ambajogai/ Ambajogai_PWD_27/2019-20 / 2020_PWR_559814_6","Maharashtra","2020_PWR_559814_6",264,"(60,Inf]"
"82","65026",2020-07-17,2020-03-06,"Upgradation and Renovation of Meghlibondh Sub Centre of Katlamara PHC under Hezamara RD Block during 2019-20 DT-114 24/02/2020/ 114/EE/RDAD/2019-20 Dt-24/02/2020 / 2020_CERDD_9105_1","Tripura","2020_CERDD_9105_1",133,"(60,Inf]"
"83","65003",2020-07-07,2020-03-06,"Upgradation and Renovation of Dumakaridak Sub Centre of Chachubazar PHC under Hezamara RD Block during 2019-20 DT-104 Dated 24/02/2020/ 104/EE/RDAD/2019-20 Dt-24/02/2020 / 2020_CERDD_9091_1","Tripura","2020_CERDD_9091_1",123,"(60,Inf]"
"84","64980",2020-07-01,2020-03-06,"Comprehensive Maintenance Contract of STP in Police Lines, Bhiwani/ 2020/HPHC/FEB-03/ 30 / 2020_HBC_122539_1","Haryana","2020_HBC_122539_1",117,"(60,Inf]"
"85","64943",2020-09-24,2020-03-06,"Work of renovation of talab located in bardari village under zone 17 SECOND CALL/ 62/SE/WWD/19-20/E-TENDER-G-1 / 2020_UAD_82639_1","Madhya Pradesh","2020_UAD_82639_1",202,"(60,Inf]"
"86","64883",2020-03-19,2020-03-06,"Construction Of Anganwadi Building Gp Ladegaon-2 Tq Kaij Dist Beed/ E-TENDER NO 03/2019-2020 / 2020_BEED_561850_1","Maharashtra","2020_BEED_561850_1",13,"(0,20]"
"87","64813",2020-09-10,2020-03-07,"Prabhag Kramank 19 D,Madhil City Hospital Te Kumar Galaxy Paryantcha Rasta Dambarikaran Karane/ PMC/DMC-5/BHAVANI/2019/586 / 2020_PMCP_560977_1","Maharashtra","2020_PMCP_560977_1",187,"(60,Inf]"
"88","64747",2020-07-04,2020-03-07,"223-ETC-II(P)/ 2019-20/ 223-ETC-II(P)/ 2019-20 / 2020_UPTCL_444580_1","Uttar Pradesh","2020_UPTCL_444580_1",119,"(60,Inf]"
"89","64734",2020-09-10,2020-03-07,"Prabhag Kramank 19 K,Madhe Sonawane Hospital Madhe Durusti Antargat Sankirn Kame Karane/ PMC/DMC-5/BHAVANI/2019/579 / 2020_PMCP_560946_1","Maharashtra","2020_PMCP_560946_1",187,"(60,Inf]"
"90","64688",2020-04-08,2020-03-07,"New Extend Pipeline - Shinde Line, Nalwadi Road To Mahadev Sawant House,Nalwadi Road To Sarjerao Sawant House, Kshirsagar House To Trimurti Medical, Shekhar Sawant House To Jaysing Sawant House ES.R. Nalwadi Line At Sawantpur/ 06/2019-20 / 2020_SANGL_562008_1","Maharashtra","2020_SANGL_562008_1",32,"(20,60]"
"91","64690",2020-06-03,2020-03-07,"P 247 Construction of New Building for Thudiyankonam Anganwadi/ 07/2020/AE/LSGD/AGP / 2020_LSGD_348676_1","Kerala","2020_LSGD_348676_1",88,"(60,Inf]"
"92","64661",2020-08-12,2020-03-07,"Reconstruction of Borjuri to Dolamara road/ DPU/SOPD-G/06/2020/10 / 2020_KAAC_17038_1","Assam","2020_KAAC_17038_1",158,"(60,Inf]"
"93","64543",2020-04-21,2020-03-07,"SR to 3nos Staff quarter at PHC (New) in Minajhola in Kolnara in the District of Rayagada/ EERWRGD - Online - 10/-2019-20 / 2020_CERWI_60490_23","Odisha","2020_CERWI_60490_23",45,"(20,60]"
"94","64533",2020-07-16,2020-03-07,"Providing CC, RCC slab i/c other allied works at different locations under Ward No 16, AMC./ 32/EE/DIV-I/AMC/2019-20 / 2020_SAMC_9134_1","Tripura","2020_SAMC_9134_1",131,"(60,Inf]"
"95","64506",2020-07-16,2020-03-07,"Providing CC, RCC slab i/c other allied works at different locations under Ward No 32, AMC/ 33/EE/DIV-I/AMC/2019-20 / 2020_SAMC_9136_1","Tripura","2020_SAMC_9136_1",131,"(60,Inf]"
"96","64380",2020-07-14,2020-03-07,"Construction of  Sub Health Centre at village Gamri  in Sonepat Distt (Re-invited)/ PWD/SE/SNP/222482 (rE-INNVITED) / 2020_HRY_122664_1","Haryana","2020_HRY_122664_1",129,"(60,Inf]"
"97","64361",2020-07-02,2020-03-07,"Special Repair of Balance Roads with Bitumens in Model Town Ward No 13 Hisar./ MCH/CIVILWORK/5 / 2020_HRY_122669_1","Haryana","2020_HRY_122669_1",117,"(60,Inf]"
"98","64365",2020-08-02,2020-03-07,"Reconstruction of Flood damage road from HM Road to Kukurmara Nomo Daspara under SOPD (FDR) for the year 2019-20/ CT-82/89/2016/104 dated 06.03.2020 / 2020_PWD_17070_1","Assam","2020_PWD_17070_1",148,"(60,Inf]"
"99","64367",2020-08-02,2020-03-07,"Reconstruction of Flood damage of Approach road of RCC Br No. 6/1 on Fakirganj Nidanpur Road under SOPD (FDR) for the year 2019-20./ CT-82/89/2016/104 dated 06.03.2020 / 2020_PWD_17070_3","Assam","2020_PWD_17070_3",148,"(60,Inf]"
"100","64326",2020-07-02,2020-03-07,"Const of Balance Road of Sector- 9AND11 and from Aarcity to Industrial Area upto O.P.J.M.S. School in Ward No. 12 Hisar./ MCH/CIVILWORK/6 / 2020_HRY_122672_1","Haryana","2020_HRY_122672_1",117,"(60,Inf]"
"101","64301",2020-11-12,2020-03-07,"Construction of Anganwadi Centre of Bidanasi Pry School at Bidanasi-I in Ward No. 1./ MC(CMC)CTC_Div-I_No21/2019-20 / 2020_ORULB_60348_7","Odisha","2020_ORULB_60348_7",250,"(60,Inf]"
"102","64261",2020-08-04,2020-03-07,"LAC-ADF 2019-20 - Muvattupuzha Constituency - Construction of new building for OP Annex in Taluk Hospital, Muvattupuzha/ PWD/2019-2020/5794/EKM / 2020_PWD_348894_1","Kerala","2020_PWD_348894_1",150,"(60,Inf]"
