S.No.,AOC Date,e-Published Date,Title and Ref.No./Tender Id,State Name
b'59977.',b'01-Jul-2020 12:00 AM',b'11-May-2020 03:55 PM',b'Opening gate of 32 barrage under Water Resources Division Bhopal/ 420/2715001/EDP/2018-19/dt. 05-05-2020 / 2020_WRD_87849_1',b'Madhya Pradesh',b'2020_WRD_87849_1'
b'59978.',b'09-Sep-2020 12:00 AM',b'11-May-2020 03:35 PM',b'AIR COMJPRESSOR SEAMLESS METAL PIPE 1ST PIPE/ DMM(T-1)/04/67681/2020/ADVT / 2020_BEST_563627_2',b'Maharashtra',b'2020_BEST_563627_2'
b'59979.',b'04-Sep-2020 12:00 AM',b'11-May-2020 03:30 PM',b'AIR COMPRESSOR SEAMLESS METAL PIPE 2ND PIPE/ DMM(T-1)/04/67680/2020/ADVT / 2020_BEST_564063_2',b'Maharashtra',b'2020_BEST_564063_2'
b'59980.',b'25-Sep-2020 12:00 AM',b'11-May-2020 03:30 PM',b'CLAMPING PLUG FOR CLUTCH ROD SLEEVE/ DMM(T-1)/04/67678/2020/CL / 2020_BEST_563593_2',b'Maharashtra',b'2020_BEST_563593_2'
b'59951.',b'24-Jul-2020 12:00 AM',b'11-May-2020 04:30 PM',b'Repair Work of 14 Nos. Sluice Gate in different Size of Minor Irrigation Tank District Sagar M.P. complete work with material and labour at work site as per G Schedule and direction of  Engineer in charge/ NIT-08/EM/SAGAR/2020 / 2020_WRD_87939_1',b'Madhya Pradesh',b'2020_WRD_87939_1'
b'59952.',b'24-Jul-2020 12:00 AM',b'11-May-2020 04:30 PM',b'Repair Work of 12 Nos. Sluice Gate in different Size of Minor Irrigation Tank District Chhatarpur M.P. complete work with material and labour at work site as per G Schedule and direction of  Engineer in charge/ NIT-06/EM/SAGAR/2020 / 2020_WRD_87937_1',b'Madhya Pradesh',b'2020_WRD_87937_1'
b'59953.',b'24-Jul-2020 12:00 AM',b'11-May-2020 04:30 PM',b'Repair Work of 16 Nos. Sluice Gate in different Size of Minor Irrigation Tank District Tikamgarh M.P. complete work with material and labour at work site as per G Schedule and direction of  Engineer in charge/ NIT-05/EM/SAGAR/2020 / 2020_WRD_87936_1',b'Madhya Pradesh',b'2020_WRD_87936_1'
b'59954.',b'23-Oct-2020 12:00 AM',b'11-May-2020 04:30 PM',b'Annual Repair and maintenance of Radial Gates 12 Nos and Head Sluice Gates including other Installed equipments  at Singhpur Bairrage Dam District Chhatarpur complete work with material and labour at work site as per G Schedule and direction of  Engi/ NIT-01/EM/SAGAR/2020 / 2020_WRD_87853_1',b'Madhya Pradesh',b'2020_WRD_87853_1'
b'59955.',b'13-Jul-2020 12:00 AM',b'11-May-2020 04:30 PM',b'Annual Repair work of  Pipalkota  minor No. 2 and canal siphon at  R D 1260 m of Nandgaon Distributary of RBMC of kolar project./ 2020_WRD_87353 / 2020_WRD_87353_1',b'Madhya Pradesh',b'2020_WRD_87353_1'
b'59956.',b'30-Dec-2020 12:00 AM',b'11-May-2020 04:30 PM',b'Annual Repairs and Maintenance of 5 City Flyovers structures&amp;#x0d;\nincluding Maintenance of street light over Mahim interchange&amp;#x0d;\nnot including in securitization For YEAR 2020 21/ T 2308 / 2020_MSRDC_575548_1',b'Maharashtra',b'2020_MSRDC_575548_1'
b'59957.',b'13-Jul-2020 12:00 AM',b'11-May-2020 04:30 PM',b'Removal work of Foreign Soil from R.D. 0 M to 1500 M and R.D. 2760 M to 3225 M  of Kharsania Distributary of R.B.M.C. of Kolar Project./ 2020_WRD_87356 / 2020_WRD_87356_1',b'Madhya Pradesh',b'2020_WRD_87356_1'
b'59958.',b'13-Jul-2020 12:00 AM',b'11-May-2020 04:30 PM',b'Repair work of Rala Distributary from R D 7280 m to 9600 m and Tiladiya Minor R D 0 to 4110 m  of RBMC of Kolar Project./ 2020_WRD_87344 / 2020_WRD_87344_1',b'Madhya Pradesh',b'2020_WRD_87344_1'
b'59959.',b'13-Jul-2020 12:00 AM',b'11-May-2020 04:30 PM',"b'Special Repair and Maintenance work of Sub Division No. 14 office , Pump House  and Culverts at Kolar Colony Rehti/ 2020_WRD_87358 / 2020_WRD_87358_1'",b'Madhya Pradesh',b'2020_WRD_87358_1'
b'59960.',b'05-Jul-2020 12:00 AM',b'11-May-2020 04:30 PM',b'Annual Repair and maintenance of Radial Gates 07 Nos. and Head Sluice Gates including other Installed equipments  at Kutni Poshak Dam District Chhatarpur complete work with material and labour at work site as per G Schedule and direction of  Engineer/ NIT-02/EM/SAGAR/2020 / 2020_WRD_87855_1',b'Madhya Pradesh',b'2020_WRD_87855_1'
b'59921.',b'12-Aug-2020 12:00 AM',b'11-May-2020 05:00 PM',b'Cleaning of metalled road and berms and disposal of solid waste from Plot No.  313 to 624 in Sector-8 at IMT Manesar./ Cleaning of of roads in Sec-313to624 IMT Manesar / 2020_HBC_128068_1',b'Haryana',b'2020_HBC_128068_1'
b'59922.',b'13-Jul-2020 12:00 AM',b'11-May-2020 05:00 PM',"b'Supply, Erection, Testing and commissioning of 1 No. 10 Passenger Lifts in Admn. Block in National Law University in Rajiv Gandhi Education City in Rai Distt. Sonipat./ PWD/Elect-KNL/Elect-KNL/17139 / 2020_HRY_123802_2'",b'Haryana',b'2020_HRY_123802_2'
b'59923.',b'12-Jun-2020 12:00 AM',b'11-May-2020 05:00 PM',b'INSERTING POLES FOR DRAWING HT ABC AT 3 LOCATIONS KPAC TO BISHOPMOORE HS JUNCTION THEKENKAVU UNAKAYAM CASHEW FACTORY TO AMMANCOVIL AND UNAKAYAM TO KAIRALI TEMPLE AND CHOLOOR 4POLE under Electrical section Krishnapuram Work code 456834111900258/ KSEB/EE/PMU/HPD/ET-04/2020-21 dated 10.05.2020 / 2020_KSEB_355725_2',b'Kerala',b'2020_KSEB_355725_2'
b'59924.',b'02-Nov-2020 12:00 AM',b'11-May-2020 05:00 PM',b'As Per Above/ BHATIWAL/2019-20/1 / 2020_WB_42903_5',b'Punjab',b'2020_WB_42903_5'
b'59925.',b'02-Jul-2020 12:00 AM',b'11-May-2020 05:00 PM',b'Constructing 11KV LINE FROM Erattakulangara Jn to Kattilparambil Junction FOR ARRANGING RING MAIN and Installing 1No 100KVA Transformer under Electrical section PALLIPAD Work code 572534111900132/ KSEB/EE/PMU/HPD/ET-02/2020-21 dated 10.05.2020 / 2020_KSEB_355723_2',b'Kerala',b'2020_KSEB_355723_2'
b'59926.',b'22-Jun-2020 12:00 AM',b'11-May-2020 05:00 PM',b'Renovation of quarters&amp;#x0d;\nNo OLVR 19 at Social Forestry compound&amp;#x0d;\nunder Olavakkode Range during 2020-21/ D-2061/2020 / 2020_FD_355735_1',b'Kerala',b'2020_FD_355735_1'
b'59927.',b'30-Jul-2020 12:00 AM',b'11-May-2020 05:00 PM',"b'Civil Work/ Online Tender 01/RWD-I, MKG/2020-21 / 2020_CERWI_61033_2'",b'Odisha',b'2020_CERWI_61033_2'
b'59928.',b'22-Jun-2020 12:00 AM',b'11-May-2020 05:00 PM',b'Renovation of quarters&amp;#x0d;\nNo OLVR 27 at Social Forestry compound&amp;#x0d;\nunder Olavakkode Range during 2020-21/ D-2060/2020 / 2020_FD_355744_1',b'Kerala',b'2020_FD_355744_1'
b'59929.',b'19-Jun-2020 12:00 AM',b'11-May-2020 05:00 PM',"b'Comprehensive Maintenance Contract of entire Air Conditioning System of 1st and 2nd Floor of Swasthya Sathi Building for all working days and holidays/ WBMSCL/ NIT - 42/2020, Dated - 11/05/2020 / 2020_WBMSC_282715_1'",b'West Bengal',b'2020_WBMSC_282715_1'
b'59930.',b'13-Jul-2020 12:00 AM',b'11-May-2020 05:00 PM',b'Construction and repair work of Boundray wall of E type Banglow at Tawa Colony Harda District Harda M.P./ 11 / 2020_WRD_87690_1',b'Madhya Pradesh',b'2020_WRD_87690_1'
b'59901.',b'10-Jun-2020 12:00 AM',b'11-May-2020 06:00 PM',b'REPAIR WORK OF SLUICE GATES OF MINOR MEDIUM TANKS UNDER BANJAR RIVER PROJECT DIVISION BAIHAR DIST BALAGHAT/ 11/2020-21 / 2020_WRD_87055_1',b'Madhya Pradesh',b'2020_WRD_87055_1'
b'59902.',b'11-Jul-2020 12:00 AM',b'11-May-2020 06:00 PM',b'MLA ADF-2019-20 Tarring from Ayanikkatu to Ettakkottu south side road and construction of Chengazhathu East side drain and culvert in Panmana Panchayat in Chavara Constituency./ 5/eT/ISDC/2020-21 / 2020_Irrig_355786_1',b'Kerala',b'2020_Irrig_355786_1'
b'59903.',b'02-Jul-2020 12:00 AM',b'11-May-2020 06:00 PM',"b'Providing Security Guard for 24 hours office of the &amp;#x0d;\nExecutive  Engineer, DWS Store Division , DWS Store Sub Division ,Agartala store yard Go-down etc at Nandannagar/ 03/EE/DWS/SD/AGT/2020-21 / 2020_CEDWS_9923_1'",b'Tripura',b'2020_CEDWS_9923_1'
b'59904.',b'17-Jul-2020 12:00 AM',b'11-May-2020 06:00 PM',b'FD- Side protection works to both the bank of Chola thodu on downstream side of Kolippalam in Mattannur Muncipality/ 38/AEE/MISDN/KNR/2019-20 / 2020_Irrig_344479_3',b'Kerala',b'2020_Irrig_344479_3'
b'59905.',b'12-Jun-2020 12:00 AM',b'11-May-2020 06:00 PM',"b'Providing and laying of additional Tertiary Water Line and connected items in CCET (Diploma wing), Sector 26, Chandigarh/ PH7/2020/3765-72 / 2020_CHD_55124_1'",b'Chandigarh UT',b'2020_CHD_55124_1'
b'59906.',b'24-Jun-2020 12:00 AM',b'11-May-2020 05:40 PM',b'Pure Bandi Link Road(VR)/ 585/2LEKHA/20 DT. 01.05.2020 / 2020_CEUCZ_468555_20',b'Uttar Pradesh',b'2020_CEUCZ_468555_20'
b'59907.',b'23-May-2020 12:00 AM',b'11-May-2020 05:30 PM',b'NIT SCHEDULE FOR SUPPLY OF WBM BT PACH MATERIAL UNDER PWD SUB DIVISION NO 2 UMARIA/ 19/2020/EE PWD UMR/E-TENDERING / 2020_PWDRB_87177_1',b'Madhya Pradesh',b'2020_PWDRB_87177_1'
b'59908.',b'21-May-2020 12:00 AM',b'11-May-2020 05:30 PM',b'NIT SCHEDULE FOR ORDINARY MAINTENACE WHITE WASHING COLOUR WASHING AND DESTEPRING RESIDENTIAL BUILDING UNDER SUB DN.NO. 2 UMARIA/ 19/2020/EE PWD UMR/E-TENDERING / 2020_PWDRB_87175_1',b'Madhya Pradesh',b'2020_PWDRB_87175_1'
b'59909.',b'21-May-2020 12:00 AM',b'11-May-2020 05:30 PM',b'NIT SCHEDULE FOR ORDINARY MAINTENACE WHITE WASHING COLOUR WASHING AND DESTEPRING NON RESIDENTIAL BUILDING UNDER SUB DN.NO. 2 UMARIA/ 19/2020/EE PWD UMR/E-TENDERING / 2020_PWDRB_87173_1',b'Madhya Pradesh',b'2020_PWDRB_87173_1'
b'59910.',b'21-May-2020 12:00 AM',b'11-May-2020 05:30 PM',b'NIT SCHEDULE FOR ORDINARY MAINTENACE WHITE WASHING COLOUR WASHING AND DESTEPRING RESIDENTIAL BUILDING UNDER SUB DN.NO. 1 UMARIA/ 19/2020/EE PWD UMR/E-TENDERING / 2020_PWDRB_87174_1',b'Madhya Pradesh',b'2020_PWDRB_87174_1'
b'59881.',b'15-Jun-2020 12:00 AM',b'11-May-2020 06:00 PM',b'Chandpara Bus Stand to Palla Road from 4.00 Kmp  to 6.50 KM. Patch repairing work under Barasat Highway Division No. II in the district of North 24 Parganas/ WBPWD/PWRD/BHD II/NIT-01e/20-21 / 2020_WBPWD_282732_5',b'West Bengal',b'2020_WBPWD_282732_5'
b'59882.',b'18-Jun-2020 12:00 AM',b'11-May-2020 06:00 PM',b'Please refer to tender Document.&amp;#x0d;/ 2157/e-Tender/Basti Div/2019-20/31.01.2020 / 2020_CLDF_430056_3',b'Uttar Pradesh',b'2020_CLDF_430056_3'
b'59883.',b'09-Jun-2020 12:00 AM',b'11-May-2020 06:00 PM',"b'Repair work of sluice gates (C.R. H.R.) of canals,tanks  under  Sub Division Dhobitoriya Distt.  Mandla/ 4/2020-21 / 2020_WRD_87043_1'",b'Madhya Pradesh',b'2020_WRD_87043_1'
b'59884.',b'30-May-2020 12:00 AM',b'11-May-2020 06:00 PM',"b'A/R and M/O Various Roads under Sub. Div. East Road-IV of Division East Road (M-212), PWD dg. 2020-21. SH- Providing Service of Data Entry/Computer Operators and Peon for Division office and Sub. Division offices/ 01/EE/East Road(M-212)/PWD/2020-21 / 2020_PWD_190600_1'",b'NCT of Delhi',b'2020_PWD_190600_1'
b'59885.',b'18-Aug-2020 12:00 AM',b'11-May-2020 06:00 PM',"b'Habra-Kumra Road from 0.00 kmp to 10.68 km (except mastic asphalt portion),surfacing work under Barasat Highway Division No-II in the District of North 24 Parganas.(3rd Call)/ ENIT NO-02 OF 2020-21 OF SE/EHC / 2020_WBPWD_282734_1'",b'West Bengal',b'2020_WBPWD_282734_1'
b'59886.',b'09-Jul-2020 12:00 AM',b'11-May-2020 06:00 PM',b'Restoration of rain damages on NH-22  from Km. 236/0 to 368/0 (SH. Construction of P.C.C. Retaining wall at RD 304/017 to 304/037)  for the year 2019-2020 in the state of  Himachal Pradesh under FDR( New)./ 64-113 dated 04-05-2020 / 2020_PWD_37021_1',b'Himachal Pradesh',b'2020_PWD_37021_1'
b'59887.',b'17-Jul-2020 12:00 AM',b'11-May-2020 06:00 PM',b'FD- Side protection works to both the bank of Chola thodu on downstream side of Kolippalam in Mattannur Muncipality/ 38/AEE/MISDN/KNR/2019-20 / 2020_Irrig_344479_3',b'Kerala',b'2020_Irrig_344479_3'
b'59888.',b'04-Aug-2020 12:00 AM',b'11-May-2020 06:00 PM',"b'Design and Construction of Life Towers at Mannacheri, Alappuzha District using LGSF and PEB Technology under LIFE Mission Project./ LM/EW/54/CRN-R3/20- Mannacheri / 2020_LMK_354374_1'",b'Kerala',b'2020_LMK_354374_1'
b'59889.',b'27-Jun-2020 12:00 AM',b'11-May-2020 06:00 PM',b'repair and maintenance of tank gates of sub division kundam dist jabalpur/ 7/2020-21 / 2020_WRD_87048_1',b'Madhya Pradesh',b'2020_WRD_87048_1'
b'59890.',b'30-Jun-2020 12:00 AM',b'11-May-2020 06:00 PM',b'Construction of CC Tiles from Mandir to Chandrapal Singh House in Village Majholi/ 2281/RED/NIT/2019-20 Dated 06.03.2020 / 2020_REDUP_453949_1',b'Uttar Pradesh',b'2020_REDUP_453949_1'
b'59861.',b'30-Jun-2020 12:00 AM',b'12-May-2020 09:00 AM',b'construction of road/ 01/2020-21/AE/LSGD/CHMRY / 2020_LSGD_355748_2',b'Kerala',b'2020_LSGD_355748_2'
b'59862.',b'02-Jun-2020 12:00 AM',b'11-May-2020 06:55 PM',b'Laying of 3  185 sq.mm  aluminum XLPE FRLS HT power cable for MC Pump motor 3A  3B and 3C and SOP motor in unit III for a length of 170 mts and end termination by  heat shrinkable end termination kit at 6 point 6KV  breaker end and motor end and chan/ SE/ES/TTPS/76/2020-21 / 2020_EB_163320_1',b'Tamil Nadu',b'2020_EB_163320_1'
b'59863.',b'12-Jun-2020 12:00 AM',b'11-May-2020 06:55 PM',"b'Supply installation operation 5Nos10HP diesel operated surface dewatering pump hiring basis incl the supply of POL ...Anandanagar Fisheries Near Rail Line,GP Anandanagar Chakpara,Block Bally Jagachha Dist Howrah Location 1 executed  by MED 2020-21/ WBIW/EE/MED/e-NIT-01/2020-21 / 2020_IWD_282731_5'",b'West Bengal',b'2020_IWD_282731_5'
b'59864.',b'12-Jun-2020 12:00 AM',b'11-May-2020 06:55 PM',"b'Installation operation 2Nos 25.6HP capacity diesel operated surface dewatering pump (deptt supplied) incl the supply of POL with the incidental charges at Garfa under Domjur Block, Bankra-II, Dist Howrah executed by MED 2020-2021/ WBIW/EE/MED/e-NIT-01/2020-21 / 2020_IWD_282731_8'",b'West Bengal',b'2020_IWD_282731_8'
b'59865.',b'07-Jul-2020 12:00 AM',b'11-May-2020 06:55 PM',b'NokariAishmaliRoadfrom4kmto9_20kmPatchRepairingWorkofQualityControlSubDivisionNo1underNadiaHighwayDivisionNoIIofPWRoadsDirectorateduringtheyear2020_21/ 02Slno1_5OF2020_21OFEENHDII / 2020_WBPWD_282733_2',b'West Bengal',b'2020_WBPWD_282733_2'
b'59866.',b'20-Jun-2020 12:00 AM',b'11-May-2020 06:55 PM',b'Link RoadFisherymoretoKancharaparaLakshmiCinemaHallfrom1_50kmto6_50kmPatchRepairingWorkofKalyaniHighwaySubDivisionunderNadiaHighwayDivisionNoIIofPWRoadsDirectorateduringtheyear2020_21/ 02Slno1_5OF2020_21OFEENHDII / 2020_WBPWD_282733_3',b'West Bengal',b'2020_WBPWD_282733_3'
b'59867.',b'25-May-2020 12:00 AM',b'11-May-2020 06:55 PM',b'A/R and M/O to various roads  Sub. Division East Road-III under PWD Division East Road /(M-212) during 2020-21.SH- Desilting of road side drains of Section I and II./ 02/EE/East Road(M-212)/PWD/2020-21 / 2020_PWD_190619_1',b'NCT of Delhi',b'2020_PWD_190619_1'
b'59868.',b'12-Jun-2020 12:00 AM',b'11-May-2020 06:55 PM',"b'Installation operation 2Nos 25.6HP diesel operated surface dewatering pump deptt supplied incl ...Dakshinpara Jola near Giyas factory Domjur Block, Bankra III, Dist Howrah executed  by MED 2020-2021/ WBIW/EE/MED/e-NIT-01/2020-21 / 2020_IWD_282731_9'",b'West Bengal',b'2020_IWD_282731_9'
b'59869.',b'24-Jun-2020 12:00 AM',b'11-May-2020 06:50 PM',b'Rajgat Katgar Road to Pure Pindor Link Road(VR)/ 585/2LEKHA/20 DT. 01.05.2020 / 2020_CEUCZ_468555_32',b'Uttar Pradesh',b'2020_CEUCZ_468555_32'
b'59870.',b'14-Aug-2020 12:00 AM',b'11-May-2020 06:45 PM',b'Construction of  2/ 3600  MT Cap Pre Engineered Wh.Bldg with ancillary works at Haknakwadi Tal. Udgir dist. Latur/ MSWC/ENGG/2/2020-2021 SR NO.3 / 2020_CMTDM_575610_1',b'Maharashtra',b'2020_CMTDM_575610_1'
b'59851.',b'23-Nov-2020 12:00 AM',b'12-May-2020 09:00 AM',"b'Constructing R.C.C.Pipe Gutter at Chambhar Wasti at Bramhani, Taluka Rahuri, Ahmednagar/ gpbramhani/DaVaSu/161 / 2020_AHMED_575637_1'",b'Maharashtra',b'2020_AHMED_575637_1'
b'59852.',b'01-Jul-2020 12:00 AM',b'12-May-2020 09:00 AM',b'Work For installation of 1500 KVAR Capiceter Bank at Dheerpura Substation ./ DGM/STC /Datia/NIT/ 20-21/33/1978Dt 11.05.20 / 2020_MKVVC_88893_1',b'Madhya Pradesh',b'2020_MKVVC_88893_1'
b'59853.',b'01-Jul-2020 12:00 AM',b'12-May-2020 09:00 AM',"b'work for installation of new 1500 KVAR Capacitor Bank at 33/11 KV Indergarh Substaion under Indergarh1 DC,OM Div.Seondha/ DGM/STC /Datia/NIT/ 20-21/29/1968Dt 11.05.20 / 2020_MKVVC_88890_1'",b'Madhya Pradesh',b'2020_MKVVC_88890_1'
